functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank,,,,
NonsmoothAbs,CPULinearSparse,12,0.027,13523,73948.1,8,0.342779,,0.342779,0.176703,0.291589,,,,,
NonsmoothAbs,CPULinearSparse,16,0.012,18178,55011.6,8,0.21116,,0.21116,0.0805152,0.125244,,,,,
NonsmoothAbs,CPULinearSparse,20,0.001,29123,34337.1,8,0.119104,,0.119104,0.0595224,0.069367,,,,,
NonsmoothAbs,CPULinearSparse,24,0.014,31725,31520.9,8,0.0631507,,0.0556338,0.0559289,0.0631507,,,,,
NonsmoothAbs,CPULinearSparse,28,0.035,48619,20568.1,8,0.0882966,,0.0104521,0.0520018,0.0882966,,,,,
NonsmoothAbs,CPULinearSparse,32,0.023,59695,16751.8,8,0.0452629,,0.0229865,0.0452629,0.0294034,,,,,
NonsmoothAbs,CPULinearSparse,36,0.027,82568,12111.2,8,0.0539657,,0.0539657,0.0346532,0.0238829,,,,,
NonsmoothAbs,CPULinearSparse,40,0.036,104206,9596.38,8,0.0650082,,0.0650082,0.0230578,0.0227247,,,,,
NonsmoothAbs,CPULinearSparse,44,0.054,129970,7694.08,8,0.0610852,,0.0610852,0.0170241,0.0365495,,,,,
NonsmoothAbs,CPULinearSparse,48,0.063,169286,5907.16,8,0.0441459,,0.0441459,0.0413347,0.0126439,,,,,
NonsmoothAbs,CPULinearSparse,52,0.04,205092,4875.86,8,0.0496496,,0.0213317,0.0496496,0.0132117,,,,,
NonsmoothAbs,CPULinearSparse,56,0.031,270182,3701.21,8,0.0345717,,0.0105061,0.0345717,0.015339,,,,,
NonsmoothAbs,CPULinearSparse,60,0.071,302346,3307.47,8,0.027448,,0.0140029,0.027448,0.0215143,,,,,
NonsmoothAbs,CPULinearSparse,64,0.076,389534,2567.17,8,0.0277109,,0.0277109,0.0180993,0.0107781,,,,,
NonsmoothAbs,CPULinearSparse,68,0.078,519513,1924.88,8,0.0185351,,0.0185351,0.012069,0.00917544,,,,,
NonsmoothAbs,CPULinearSparse,72,0.084,529832,1887.39,8,0.0294548,,0.0294548,0.00927419,0.0108245,,,,,
NonsmoothAbs,CPULinearSparse,76,0.093,764882,1307.39,8,0.0242026,,0.0242026,0.00658112,0.013831,,,,,
NonsmoothAbs,CPULinearSparse,80,0.097,919333,1087.75,8,0.0167336,,0.0167336,0.00559686,0.00802348,,,,,
NonsmoothAbs,CPULinearSparse,84,0.153,1.14E+06,880.833,8,0.00951428,,0.00951428,0.00757588,0.00709123,,,,,
NonsmoothAbs,CPULinearSparse,88,0.105,1.32E+06,757.203,8,0.00885068,,0.0048582,0.00885068,0.00820869,,,,,
NonsmoothAbs,CPULinearSparse,92,0.175,1.50E+06,666.825,8,0.00955688,,0.00621814,0.00827815,0.00955688,,,,,
NonsmoothAbs,CPULinearSparse,96,0.141,1.76E+06,567.866,8,0.0163944,,0.0163944,0.00773556,0.00615994,,,,,
NonsmoothAbs,CPULinearSparse,100,0.163,2.04E+06,489.822,8,0.00904851,,0.00904851,0.00770879,0.00553138,,,,,
NonsmoothAbs,CPULinearSparse,104,0.178,1.71E+06,585.644,8,0.0135289,,0.0135289,0.00578557,0.00686413,,,,,
NonsmoothAbs,CPULinearSparse,108,0.195,2.64E+06,379.497,8,0.0124286,,0.0124286,0.00458744,0.00713918,,,,,
NonsmoothAbs,CPULinearSparse,112,0.214,7.79E+06,128.388,8,0.0104173,,0.0104173,0.0100121,0.00478402,,,,,
NonsmoothAbs,CPULinearSparse,116,0.201,4.62E+06,216.459,8,0.0127118,,0.0072861,0.0127118,0.00438263,,,,,
NonsmoothAbs,CPULinearSparse,120,0.199,2.25E+06,444.459,8,0.0109538,,0.00323409,0.0109538,0.00536172,,,,,
NonsmoothAbs,CPULinearSparse,124,0.241,2.60E+06,385.117,8,0.00869619,,0.00560668,0.00869619,0.00550451,,,,,
NonsmoothAbs,CPULinearSparse,128,0.304,2.87E+06,348.682,8,0.0114146,,0.0114146,0.00593569,0.0038144,,,,,
NonsmoothAbs,CPULinearSparse,132,0.281,3.85E+06,259.518,8,0.00594471,,0.00594471,0.00482326,0.00386368,,,,,
