function_name, calculator,N,init_time, calc_time, calc_hz, bytes, max_error, blank_column, err1, err2, err3, Blank
Nonsmooth_abs,DCT+Bessel+IDCT                    ,8,0.001,5763,173521,8, 0.450487,,0.0696759,0.0708392,0.450487,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,12,0.003,11710,85397.1,8, 0.546055,,0.0477882,0.122157,0.546055,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,16,0.003,21009,47598.6,8, 0.581984,,0.0323418,0.169029,0.581984,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,20,0.02,30179,33135.6,8, 0.594115,,0.0207213,0.196417,0.594115,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,24,0.028,69112,14469.3,8, 0.622682,,0.0121876,0.216895,0.622682,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,28,0.013,104163,9600.34,8, 0.642505,,0.00631566,0.230333,0.642505,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,32,0.012,70286,14227.6,8, 0.641998,,0.00608097,0.241554,0.641998,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,36,0.036,127884,7819.59,8, 0.656838,,0.00621952,0.249451,0.656838,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,40,0.046,175436,5700.08,8, 0.66333,,0.00545065,0.25559,0.66333,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,44,0.011,222196,4500.53,8, 0.665654,,0.0041856,0.260899,0.665654,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,48,0.042,235276,4250.33,8, 0.671294,,0.00281361,0.264911,0.671294,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,52,0.014,411222,2431.78,8, 0.675014,,0.00218305,0.268801,0.675014,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,56,0.024,307943,3247.35,8, 0.678524,,0.00264378,0.271809,0.678524,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,60,0.07,418517,2389.39,8, 0.681156,,0.00268936,0.274777,0.681156,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,64,0.029,461117,2168.65,8, 0.683082,,0.00268871,0.277113,0.683082,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,68,0.026,626406,1596.41,8, 0.686006,,0.00305707,0.27945,0.686006,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,72,0.068,503745,1985.13,8, 0.687134,,0.00339308,0.281316,0.687134,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,76,0.034,1.18074e+06,846.929,8, 0.689145,,0.00368078,0.283203,0.689145,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,80,0.073,582988,1715.3,8, 0.691551,,0.0039685,0.284727,0.691551,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,84,0.044,780437,1281.33,8, 0.691683,,0.00421283,0.28615,0.691683,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,88,0.022,778821,1283.99,8, 0.693768,,0.00444385,0.287419,0.693768,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,92,0.03,1.27424e+06,784.78,8, 0.695055,,0.00465606,0.288456,0.695055,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,96,0.078,967749,1033.33,8, 0.695222,,0.00484702,0.289552,0.695222,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,100,0.07,945840,1057.26,8, 0.696764,,0.00503453,0.290455,0.696764,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,104,0.025,1.04217e+06,959.539,8, 0.697785,,0.00519454,0.291411,0.697785,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,108,0.07,1.576e+06,634.519,8, 0.698409,,0.00536156,0.292203,0.698409,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,112,0.047,1.37139e+06,729.188,8, 0.699273,,0.00550716,0.293042,0.699273,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,116,0.037,2.07788e+06,481.26,8, 0.699842,,0.00564664,0.293742,0.699842,
Nonsmooth_abs,DCT+Bessel+IDCT                    ,120,0.147,1.30095e+06,768.669,8, 0.700626,,0.0057807,0.294485,0.700626,
