function_name, calculator,N,init-time, calc-time, calc-hz, bytes, max-error, blank-column, err1, err2, err3, Blank
Smooth_runge,GPU-cheb-dense,8,2.795,135442,7383.23,8, 0.30642,,0.30642,0.136413,0.167862,
Smooth_runge,GPU-cheb-dense,12,0.006,126388,7912.14,8, 0.12736,,0.12736,0.0925803,0.0936167,
Smooth_runge,GPU-cheb-dense,16,0.017,141396,7072.34,8, 0.0660291,,0.0660291,0.0299686,0.0370413,
Smooth_runge,GPU-cheb-dense,20,0.01,178087,5615.23,8, 0.0314845,,0.0314845,0.0125585,0.014866,
Smooth_runge,GPU-cheb-dense,24,0.017,235652,4243.55,8, 0.00556,,0.00556,0.00518757,0.00484361,
Smooth_runge,GPU-cheb-dense,28,0.038,278204,3594.48,8, 0.0036038,,0.00220839,0.00250501,0.0036038,
Smooth_runge,GPU-cheb-dense,32,0.045,382915,2611.55,8, 0.00314504,,0.0012713,0.00140786,0.00314504,
Smooth_runge,GPU-cheb-dense,36,0.081,640582,1561.08,8, 0.00206565,,0.000839085,0.000873555,0.00206565,
Smooth_runge,GPU-cheb-dense,40,0.144,549648,1819.35,8, 0.00136618,,0.000521914,0.000645657,0.00136618,
Smooth_runge,GPU-cheb-dense,44,0.26,850563,1175.69,8, 0.00179248,,0.000563172,0.000599005,0.00179248,
Smooth_runge,GPU-cheb-dense,48,0.453,1.0226e+06,977.897,8, 0.00172414,,0.000593607,0.000595827,0.00172414,
Smooth_runge,GPU-cheb-dense,52,0.655,1.15168e+06,868.296,8, 0.00120766,,0.000573432,0.000577216,0.00120766,
Smooth_runge,GPU-cheb-dense,56,0.864,1.27956e+06,781.522,8, 0.000855753,,0.000515309,0.000560174,0.000855753,
Smooth_runge,GPU-cheb-dense,60,1.019,2.20157e+06,454.222,8, 0.00113488,,0.000433004,0.000540556,0.00113488,
Smooth_runge,GPU-cheb-dense,64,1.47,1.88123e+06,531.566,8, 0.00111704,,0.000342765,0.000515927,0.00111704,
Smooth_runge,GPU-cheb-dense,68,1.581,3.23737e+06,308.892,8, 0.000807805,,0.000251321,0.000484843,0.000807805,
Smooth_runge,GPU-cheb-dense,72,2.033,3.7435e+06,267.13,8, 0.000599937,,0.000192826,0.000449222,0.000599937,
Smooth_runge,GPU-cheb-dense,76,2.517,3.45568e+06,289.379,8, 0.000799691,,0.000233044,0.000412574,0.000799691,
Smooth_runge,GPU-cheb-dense,80,3.092,5.39414e+06,185.386,8, 0.000798917,,0.000254106,0.000372625,0.000798917,
Smooth_runge,GPU-cheb-dense,84,3.93,6.31358e+06,158.389,8, 0.000589083,,0.000255632,0.000331142,0.000589083,
Smooth_runge,GPU-cheb-dense,88,4.572,6.47476e+06,154.446,8, 0.000450363,,0.000238257,0.000290098,0.000450363,
Smooth_runge,GPU-cheb-dense,92,5.832,6.82481e+06,146.524,8, 0.000602223,,0.00020782,0.000249045,0.000602223,
Smooth_runge,GPU-cheb-dense,96,7.822,8.23205e+06,121.476,8, 0.000607622,,0.000170242,0.000209865,0.000607622,
Smooth_runge,GPU-cheb-dense,100,8.074,9.48894e+06,105.386,8, 0.000453954,,0.000129753,0.000173976,0.000453954,
Smooth_runge,GPU-cheb-dense,104,9.076,1.33302e+07,75.0178,8, 0.000354018,,0.000110489,0.000145252,0.000354018,
Smooth_runge,GPU-cheb-dense,108,11.304,1.53638e+07,65.0882,8, 0.00047449,,0.00013439,0.000156934,0.00047449,
Smooth_runge,GPU-cheb-dense,112,13.64,1.51253e+07,66.1145,8, 0.000482132,,0.000148705,0.00016653,0.000482132,
Smooth_runge,GPU-cheb-dense,116,15.823,1.68887e+07,59.2112,8, 0.000363624,,0.000151725,0.000174064,0.000363624,
Smooth_runge,GPU-cheb-dense,120,17.487,1.8504e+07,54.0424,8, 0.000287704,,0.000143683,0.000178947,0.000287704,
Smooth_runge,GPU-cheb-dense,124,21.284,2.23731e+07,44.6965,8, 0.000386301,,0.000127422,0.000181045,0.000386301,
Finished a list. std::bad_alloc
