FunctionName, Calculator,N,Init time (s), Calc.time(s), Calc.Freq(hz), Bytes, MaxError, FirstBlank, Err1, Err2, Err3, Blank
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,8,0.004,44295,22575.9,8, 0.181673,,0.0259268,0.181673,0.152593,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,12,0.028,97226,10285.3,8, 0.0166351,,0.00145873,0.0166351,0.0164818,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,16,0.014,95168,10507.7,8, 0.00108391,,6.68458e-05,0.000767412,0.00108391,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,20,0.034,247742,4036.46,8, 2.09681e-05,,1.29618e-06,1.47861e-05,2.09681e-05,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,24,0.055,402593,2483.9,8, 1.23883e-07,,1.13263e-08,1.23883e-07,6.97342e-08,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,28,0.034,603358,1657.39,8, 5.69206e-10,,3.99197e-11,4.46746e-10,5.69206e-10,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,32,0.035,547011,1828.12,8, 1.44569e-11,,4.03428e-12,1.23766e-11,1.44569e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,36,0.086,1.20818e+06,827.691,8, 2.05399e-11,,4.73535e-12,1.27882e-11,2.05399e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,40,0.091,926975,1078.78,8, 2.63181e-11,,5.67034e-12,1.31873e-11,2.63181e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,44,0.034,1.5156e+06,659.807,8, 2.16263e-11,,5.77367e-12,1.31285e-11,2.16263e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,48,0.086,1.15768e+06,863.793,8, 1.47517e-11,,5.57809e-12,1.24335e-11,1.47517e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,52,0.041,2.20869e+06,452.758,8, 2.05286e-11,,5.228e-12,1.10999e-11,2.05286e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,56,0.06,2.21812e+06,450.833,8, 2.52514e-11,,4.78163e-12,8.82482e-12,2.52514e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,60,0.174,1.79102e+06,558.34,8, 2.45962e-11,,4.27848e-12,5.58654e-12,2.45962e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,64,0.049,2.69282e+06,371.357,8, 1.36476e-11,,3.74764e-12,6.19867e-12,1.36476e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,68,0.084,3.13176e+06,319.309,8, 1.89492e-11,,3.74787e-12,6.90089e-12,1.89492e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,72,0.143,3.05245e+06,327.605,8, 2.35173e-11,,4.81281e-12,7.63043e-12,2.35173e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,76,0.096,1.308e+07,76.4525,8, 2.47649e-11,,5.11972e-12,8.2003e-12,2.47649e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,80,0.108,4.69024e+06,213.209,8, 1.5386e-11,,5.06427e-12,8.97043e-12,1.5386e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,84,0.134,4.33626e+06,230.613,8, 1.67618e-11,,4.79117e-12,9.45344e-12,1.67618e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,88,0.111,1.58118e+07,63.2438,8, 2.13897e-11,,4.382e-12,9.98914e-12,2.13897e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,92,0.116,1.35031e+07,74.057,8, 2.38431e-11,,3.89498e-12,1.04519e-11,2.38431e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,96,0.116,6.1767e+06,161.899,8, 2.05656e-11,,3.3767e-12,1.0837e-11,2.05656e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,100,0.169,2.25385e+07,44.3686,8, 1.44594e-11,,3.22376e-12,1.10302e-11,1.44594e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,104,0.078,9.03789e+06,110.645,8, 1.90784e-11,,4.21308e-12,1.12625e-11,1.90784e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,108,0.154,8.13378e+06,122.944,8, 2.23685e-11,,4.55199e-12,1.12461e-11,2.23685e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,112,0.101,2.3131e+07,43.2321,8, 2.19067e-11,,4.55173e-12,1.13427e-11,2.19067e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,116,0.105,9.90633e+06,100.946,8, 1.21884e-11,,4.33482e-12,1.09045e-11,1.21884e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,120,0.284,8.12692e+06,123.048,8, 1.67009e-11,,3.97798e-12,1.05341e-11,1.67009e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,124,0.13,1.38259e+07,72.3278,8, 2.04964e-11,,3.53669e-12,9.8294e-12,2.04964e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,128,0.137,1.05729e+07,94.5813,8, 2.17671e-11,,3.06049e-12,8.98019e-12,2.17671e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,132,0.164,1.83243e+07,54.5724,8, 1.73116e-11,,2.87626e-12,8.06929e-12,1.73116e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,136,0.198,2.01807e+07,49.5522,8, 1.434e-11,,3.78404e-12,6.39201e-12,1.434e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,140,0.252,2.10888e+07,47.4184,8, 1.84092e-11,,4.12042e-12,5.93481e-12,1.84092e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,144,0.158,1.83678e+07,54.443,8, 2.08246e-11,,4.14476e-12,6.37606e-12,2.08246e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,148,0.215,2.51435e+07,39.7718,8, 1.94317e-11,,3.96286e-12,6.82654e-12,1.94317e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,152,0.218,1.71567e+07,58.2864,8, 1.2122e-11,,3.64647e-12,7.29849e-12,1.2122e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,156,0.172,1.62203e+07,61.6513,8, 1.62424e-11,,3.24721e-12,7.80351e-12,1.62424e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,160,0.181,1.52841e+07,65.4277,8, 1.93802e-11,,2.80842e-12,7.96106e-12,1.93802e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,164,0.213,2.90379e+07,34.4378,8, 1.98782e-11,,2.62264e-12,8.45708e-12,1.98782e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,168,0.268,2.40834e+07,41.5223,8, 1.45853e-11,,3.46096e-12,8.72326e-12,1.45853e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,172,0.225,2.78728e+07,35.8773,8, 1.40595e-11,,3.78556e-12,8.9744e-12,1.40595e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,176,0.214,2.55672e+07,39.1126,8, 1.76198e-11,,3.82327e-12,9.12883e-12,1.76198e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,180,0.269,3.48111e+07,28.7265,8, 1.93858e-11,,3.66558e-12,9.37284e-12,1.93858e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,184,0.257,2.63302e+07,37.9792,8, 1.73449e-11,,3.37868e-12,9.45674e-12,1.73449e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,188,0.297,4.61709e+07,21.6587,8, 1.1977e-11,,3.01172e-12,9.35416e-12,1.1977e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,192,0.23,2.51812e+07,39.7121,8, 1.57269e-11,,2.60677e-12,9.41408e-12,1.57269e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,196,0.164,3.11398e+07,32.1132,8, 1.83254e-11,,2.42671e-12,8.95078e-12,1.83254e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,200,0.237,3.27879e+07,30.4991,8, 1.82473e-11,,3.20769e-12,8.75128e-12,1.82473e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,204,0.422,3.58501e+07,27.8939,8, 1.21803e-11,,3.51887e-12,8.24257e-12,1.21803e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,208,0.216,2.74401e+07,36.443,8, 1.37383e-11,,3.5614e-12,7.56202e-12,1.37383e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,212,0.297,5.59847e+07,17.862,8, 1.68756e-11,,3.42263e-12,6.61127e-12,1.68756e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,216,0.227,3.63217e+07,27.5317,8, 1.81335e-11,,3.16027e-12,5.26099e-12,1.81335e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,220,0.279,3.96693e+07,25.2084,8, 1.55225e-11,,2.81876e-12,5.28572e-12,1.55225e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,224,0.23,3.43346e+07,29.1252,8, 1.17974e-11,,2.44112e-12,5.84371e-12,1.17974e-11,
