function_name, calculator,N,init_time, calc_time, calc_hz, bytes, max_error, blank_column, err1, err2, err3, Blank
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,8,0.008,5134,194780,8, 1.10343,,0.845609,0.924495,1.10343,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,12,0.003,9689,103210,8, 0.889805,,0.806965,0.889805,0.888091,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,16,0.003,15130,66093.9,8, 0.877784,,0.790168,0.873359,0.877784,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,20,0.023,21610,46274.9,8, 0.871438,,0.780565,0.863598,0.871438,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,24,0.031,57260,17464.2,8, 0.867152,,0.77423,0.857185,0.867152,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,28,0.017,75403,13262.1,8, 0.854096,,0.769667,0.852633,0.854096,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,32,0.014,61228,16332.4,8, 0.85334,,0.766182,0.84924,0.85334,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,36,0.041,108486,9217.78,8, 0.852672,,0.780611,0.846612,0.852672,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,40,0.053,143562,6965.63,8, 0.852091,,0.776407,0.844516,0.852091,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,44,0.013,174880,5718.21,8, 0.851586,,0.772964,0.842807,0.851586,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,48,0.052,194766,5134.37,8, 0.845293,,0.770087,0.841385,0.845293,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,52,0.013,264327,3783.19,8, 0.845481,,0.767648,0.840184,0.845481,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,56,0.029,247596,4038.84,8, 0.845613,,0.765555,0.839157,0.845613,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,60,0.076,334036,2993.69,8, 0.845707,,0.76374,0.838268,0.845707,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,64,0.029,298677,3348.1,8, 0.84129,,0.762153,0.823157,0.84129,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,68,0.028,629702,1588.05,8, 0.841681,,0.769586,0.823326,0.841681,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,72,0.075,452645,2209.24,8, 0.842009,,0.767807,0.823475,0.842009,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,76,0.029,819428,1220.36,8, 0.842288,,0.766224,0.823608,0.842288,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,80,0.087,503202,1987.27,8, 0.842528,,0.764807,0.823728,0.842528,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,84,0.051,537618,1860.06,8, 0.83933,,0.763532,0.823836,0.83933,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,88,0.024,691618,1445.88,8, 0.839713,,0.762379,0.823933,0.839713,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,92,0.032,1.42899e+06,699.793,8, 0.840052,,0.76133,0.824023,0.840052,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,96,0.087,800444,1249.31,8, 0.840354,,0.760372,0.824104,0.840354,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,100,0.082,890599,1122.84,8, 0.837733,,0.76543,0.824179,0.837733,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,104,0.028,936795,1067.47,8, 0.838123,,0.764371,0.824248,0.838123,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,108,0.071,981128,1019.24,8, 0.838475,,0.763394,0.824312,0.838475,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,112,0.049,1.00469e+06,995.328,8, 0.838796,,0.762489,0.824371,0.838796,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,116,0.039,2.36557e+06,422.731,8, 0.839089,,0.761649,0.824426,0.839089,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,120,0.169,1.24142e+06,805.526,8, 0.836956,,0.760866,0.824477,0.836956,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,124,0.041,2.55556e+06,391.303,8, 0.837304,,0.760135,0.824525,0.837304,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,128,0.032,1.36798e+06,731.006,8, 0.837625,,0.759451,0.82457,0.837625,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,132,0.046,1.41676e+06,705.833,8, 0.837922,,0.763282,0.824612,0.837922,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,136,0.073,2.43668e+06,410.395,8, 0.836064,,0.762537,0.824651,0.836064,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,140,0.08,1.49519e+06,668.811,8, 0.8364,,0.761836,0.824689,0.8364,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,144,0.132,1.56777e+06,637.847,8, 0.836713,,0.761176,0.818535,0.836713,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,148,0.054,4.64183e+06,215.432,8, 0.837005,,0.760553,0.818733,0.837005,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,152,0.079,3.31106e+06,302.018,8, 0.837278,,0.759964,0.818921,0.837278,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,156,0.05,2.14066e+06,467.145,8, 0.83568,,0.759407,0.819099,0.83568,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,160,0.088,2.41692e+06,413.75,8, 0.835982,,0.758879,0.819268,0.835982,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,164,0.062,5.55688e+06,179.957,8, 0.836265,,0.761963,0.819429,0.836265,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,168,0.111,2.24318e+06,445.795,8, 0.836533,,0.761393,0.819583,0.836533,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,172,0.058,7.07612e+06,141.32,8, 0.835094,,0.760852,0.819729,0.835094,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,176,0.076,2.78914e+06,358.533,8, 0.835383,,0.760335,0.819869,0.835383,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,180,0.182,2.75664e+06,362.76,8, 0.835657,,0.759842,0.820003,0.835657,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,184,0.084,5.00903e+06,199.639,8, 0.835915,,0.759372,0.82013,0.835915,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,188,0.058,8.70934e+06,114.819,8, 0.834608,,0.758922,0.820253,0.834608,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,192,0.095,3.48801e+06,286.696,8, 0.834884,,0.758492,0.82037,0.834884,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,196,0.049,3.39161e+06,294.845,8, 0.835146,,0.761073,0.820483,0.835146,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,200,0.153,3.68801e+06,271.149,8, 0.835396,,0.760614,0.820591,0.835396,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,204,0.148,5.67786e+06,176.123,8, 0.835634,,0.760172,0.820695,0.835634,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,208,0.059,5.00934e+06,199.627,8, 0.834461,,0.759749,0.820795,0.834461,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,212,0.079,1.36659e+07,73.1748,8, 0.834713,,0.759342,0.820892,0.834713,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,216,0.146,4.53136e+06,220.685,8, 0.834953,,0.758951,0.820984,0.834953,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,220,0.099,4.31039e+06,231.998,8, 0.835183,,0.758575,0.821074,0.835183,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,224,0.069,4.74084e+06,210.933,8, 0.834098,,0.758212,0.817214,0.834098,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,228,0.16,7.24101e+06,138.102,8, 0.834339,,0.760432,0.817365,0.834339,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,232,0.108,9.09292e+06,109.976,8, 0.83457,,0.760047,0.81751,0.83457,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,236,0.104,1.4947e+07,66.903,8, 0.834792,,0.759676,0.817651,0.834792,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,240,0.278,5.02553e+06,198.984,8, 0.835005,,0.759318,0.817787,0.835005,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,244,0.103,1.68866e+07,59.2186,8, 0.834015,,0.758972,0.817919,0.834015,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,248,0.111,1.06166e+07,94.192,8, 0.834237,,0.758637,0.818047,0.834237,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,252,0.142,7.21048e+06,138.687,8, 0.834451,,0.758314,0.81817,0.834451,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,256,0.095,6.83038e+06,146.405,8, 0.834656,,0.758001,0.81829,0.834656,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,260,0.104,6.22999e+06,160.514,8, 0.83373,,0.759948,0.818406,0.83373,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,264,0.121,6.17442e+06,161.959,8, 0.833944,,0.759617,0.818519,0.833944,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,268,0.116,2.09718e+07,47.6831,8, 0.83415,,0.759297,0.818628,0.83415,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,272,0.159,1.08011e+07,92.5833,8, 0.834348,,0.758987,0.818735,0.834348,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,276,0.17,1.19951e+07,83.3672,8, 0.83454,,0.758686,0.818838,0.83454,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,280,0.223,7.14158e+06,140.025,8, 0.833684,,0.758394,0.818938,0.833684,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,284,0.134,2.28268e+07,43.8082,8, 0.833882,,0.758111,0.819035,0.833882,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,288,0.137,8.02636e+06,124.589,8, 0.834074,,0.757835,0.81913,0.834074,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,292,0.143,2.39434e+07,41.7651,8, 0.83426,,0.759569,0.819222,0.83426,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,296,0.137,1.88679e+07,53,8, 0.833452,,0.75928,0.819312,0.833452,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,300,0.239,9.59682e+06,104.201,8, 0.833643,,0.758999,0.819399,0.833643,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,304,0.175,1.41395e+07,70.7241,8, 0.833828,,0.758725,0.816588,0.833828,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,308,0.091,1.06026e+07,94.3168,8, 0.834008,,0.758459,0.816707,0.834008,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,312,0.139,8.96908e+06,111.494,8, 0.834182,,0.7582,0.816824,0.834182,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,316,0.17,3.52596e+07,28.3611,8, 0.833428,,0.757948,0.816937,0.833428,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,320,0.154,1.45698e+07,68.6353,8, 0.833607,,0.757702,0.817048,0.833607,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,324,0.144,1.46168e+07,68.4144,8, 0.833781,,0.759265,0.817156,0.833781,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,328,0.143,2.69765e+07,37.0693,8, 0.83395,,0.759008,0.817262,0.83395,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,332,0.206,3.85498e+07,25.9404,8, 0.833233,,0.758757,0.817365,0.833233,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,336,0.265,1.41102e+07,70.8707,8, 0.833407,,0.758513,0.817465,0.833407,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,340,0.21,2.07129e+07,48.279,8, 0.833575,,0.758275,0.817564,0.833575,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,344,0.156,3.12453e+07,32.0048,8, 0.833739,,0.758042,0.81766,0.833739,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,348,0.213,2.50931e+07,39.8516,8, 0.833057,,0.757815,0.817753,0.833057,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,352,0.17,1.78688e+07,55.9635,8, 0.833225,,0.757593,0.817845,0.833225,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,356,0.235,5.04633e+07,19.8164,8, 0.833388,,0.759016,0.817935,0.833388,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,360,0.354,1.63735e+07,61.0745,8, 0.833547,,0.758784,0.818023,0.833547,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,364,0.108,1.95537e+07,51.1412,8, 0.833702,,0.758558,0.818108,0.833702,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,368,0.207,2.73667e+07,36.5407,8, 0.833058,,0.758338,0.818192,0.833058,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,372,0.227,3.05317e+07,32.7529,8, 0.833216,,0.758122,0.818274,0.833216,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,376,0.179,3.83106e+07,26.1024,8, 0.833371,,0.757911,0.818355,0.833371,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,380,0.23,2.75838e+07,36.2532,8, 0.833521,,0.757704,0.818434,0.833521,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,384,0.174,2.12621e+07,47.0321,8, 0.832905,,0.757502,0.816223,0.832905,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,388,0.337,6.09075e+07,16.4183,8, 0.833059,,0.758807,0.816321,0.833059,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,392,0.124,2.15433e+07,46.4181,8, 0.833209,,0.758597,0.816418,0.833209,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,396,0.207,2.20176e+07,45.4181,8, 0.833355,,0.758391,0.816512,0.833355,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,400,0.276,2.23346e+07,44.7735,8, 0.833498,,0.75819,0.816605,0.833498,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,404,0.416,6.82205e+07,14.6583,8, 0.832914,,0.757993,0.816696,0.832914,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,408,0.362,3.00184e+07,33.3129,8, 0.83306,,0.757799,0.816785,0.83306,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,412,0.359,7.14348e+07,13.9988,8, 0.833202,,0.75761,0.816873,0.833202,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,416,0.151,2.47916e+07,40.3362,8, 0.833341,,0.757424,0.816958,0.833341,
Nonsmooth_sqrt,DCT+Bessel+IDCT                    ,420,0.362,2.16999e+07,46.0831,8, 0.83278,,0.75863,0.817043,0.83278,
