function_name, calculator,N,init_time, calc_time, calc_hz, bytes, max_error, blank_column, err1, err2, err3, Blank
Smooth_exp,DCT+Bessel+IDCT                    ,8,0.003,11854,84359.7,8, 0.179132,,0.0258627,0.179132,0.144268,
Smooth_exp,DCT+Bessel+IDCT                    ,12,0.005,11678,85631.1,8, 0.106585,,0.00144592,0.01577,0.106585,
Smooth_exp,DCT+Bessel+IDCT                    ,16,0.005,18680,53533.2,8, 0.202055,,6.41967e-05,0.000688704,0.202055,
Smooth_exp,DCT+Bessel+IDCT                    ,20,0.03,63931,15641.9,8, 0.282202,,1.18568e-06,4.64146e-05,0.282202,
Smooth_exp,DCT+Bessel+IDCT                    ,24,0.04,136653,7317.8,8, 0.343572,,9.55682e-09,7.89063e-05,0.343572,
Smooth_exp,DCT+Bessel+IDCT                    ,28,0.016,100545,9945.8,8, 0.390353,,3.01977e-11,0.000116298,0.390353,
Smooth_exp,DCT+Bessel+IDCT                    ,32,0.018,71768,13933.8,8, 0.426859,,1.22664e-11,0.000154114,0.426859,
Smooth_exp,DCT+Bessel+IDCT                    ,36,0.041,129718,7709.03,8, 0.456452,,1.56118e-11,0.000190861,0.456452,
Smooth_exp,DCT+Bessel+IDCT                    ,40,0.052,163961,6099.01,8, 0.479531,,1.9298e-11,0.000225798,0.479531,
Smooth_exp,DCT+Bessel+IDCT                    ,44,0.012,229352,4360.11,8, 0.498951,,2.31978e-11,0.000258558,0.498951,
Smooth_exp,DCT+Bessel+IDCT                    ,48,0.049,223294,4478.4,8, 0.515246,,2.72125e-11,0.000288902,0.515246,
Smooth_exp,DCT+Bessel+IDCT                    ,52,0.013,275567,3628.88,8, 0.529057,,3.12638e-11,0.000317121,0.529057,
Smooth_exp,DCT+Bessel+IDCT                    ,56,0.026,353680,2827.41,8, 0.540931,,3.5293e-11,0.000343284,0.540931,
Smooth_exp,DCT+Bessel+IDCT                    ,60,0.076,365484,2736.1,8, 0.551274,,3.92564e-11,0.00036743,0.551274,
Smooth_exp,DCT+Bessel+IDCT                    ,64,0.029,299008,3344.39,8, 0.560211,,4.31231e-11,0.000389814,0.560211,
