functionName,Bicubic,Chebyshev,Linear,Padded FFT
non-smooth horn,-1.3443929411807787,-1.5790895202809743,-1.3258991754086924,-0.4896967962094086
non-smooth ridge,-1.5100601785774916,-1.6945267310200174,-1.5573672596376826,-1.5611235414415259
smooth bivariate runge,-4.322249719791598,-8.790580071938104,-1.6003949287222414,-1.530672622673309
smooth exponential,-4.412277563930784,-20.87321993351692,-1.6116745364447203,-1.7229949743054958
