function_name, calculator,N,init-time, calc-time, calc-hz, bytes, max-error, blank-column, err1, err2, err3, Blank
Nonsmooth_runge_abs,CPU-DCT-nopad,8,0.003,4709,212359,4, 0.839246,,0.0386879,0.0885514,0.839246,
Nonsmooth_runge_abs,CPU-DCT-nopad,12,0.01,11540,86655.1,4, 0.827635,,0.0396095,0.202477,0.827635,
Nonsmooth_runge_abs,CPU-DCT-nopad,16,0.005,18693,53496,4, 0.877797,,0.0333552,0.289652,0.877797,
Nonsmooth_runge_abs,CPU-DCT-nopad,20,0.025,25858,38672.8,4, 0.985008,,0.0298481,0.339828,0.985008,
Nonsmooth_runge_abs,CPU-DCT-nopad,24,0.031,58070,17220.6,4, 1.06775,,0.0244809,0.367424,1.06775,
Nonsmooth_runge_abs,CPU-DCT-nopad,28,0.017,79384,12597,4, 1.13259,,0.019749,0.391829,1.13259,
Nonsmooth_runge_abs,CPU-DCT-nopad,32,0.016,65343,15303.9,4, 1.17125,,0.018825,0.408185,1.17125,
Nonsmooth_runge_abs,CPU-DCT-nopad,36,0.038,122219,8182.03,4, 1.20426,,0.0115214,0.422626,1.20426,
Nonsmooth_runge_abs,CPU-DCT-nopad,40,0.052,139472,7169.9,4, 1.22863,,0.0108021,0.432573,1.22863,
Nonsmooth_runge_abs,CPU-DCT-nopad,44,0.012,177912,5620.76,4, 1.25026,,0.0115138,0.43997,1.25026,
Nonsmooth_runge_abs,CPU-DCT-nopad,48,0.048,206300,4847.31,4, 1.26657,,0.0112659,0.447128,1.26657,
Nonsmooth_runge_abs,CPU-DCT-nopad,52,0.014,258045,3875.29,4, 1.281,,0.0111488,0.453168,1.281,
