function_name, calculator,N,init-time, calc-time, calc-hz, bytes, max-error, blank-column, err1, err2, err3, Blank
Smooth_poly,CPU-cheb-dense,8,0.074,43060,23223.4,8, 0.0384263,,0.0312095,0.0252301,0.0384263,
Smooth_poly,CPU-cheb-dense,12,0.112,153724,6505.17,8, 0.0385373,,0.0256547,0.0136739,0.0385373,
Smooth_poly,CPU-cheb-dense,16,0.157,627565,1593.46,8, 0.0268596,,0.0207545,0.00881559,0.0268596,
Smooth_poly,CPU-cheb-dense,20,0.197,1.72128e+06,580.962,8, 0.0163619,,0.0163619,0.0060856,0.0141517,
Smooth_poly,CPU-cheb-dense,24,0.314,4.33824e+06,230.508,8, 0.012498,,0.012498,0.00434385,0.00870299,
Smooth_poly,CPU-cheb-dense,28,0.334,5.4063e+06,184.969,8, 0.010172,,0.00919251,0.0031701,0.010172,
Smooth_poly,CPU-cheb-dense,32,1.135,2.04734e+07,48.8439,8, 0.00879542,,0.00645797,0.00233714,0.00879542,
Smooth_poly,CPU-cheb-dense,36,0.282,2.64707e+07,37.7776,8, 0.00560969,,0.00428395,0.00172969,0.00560969,
Smooth_poly,CPU-cheb-dense,40,0.884,5.34782e+07,18.6992,8, 0.00405304,,0.00263773,0.0012914,0.00405304,
Smooth_poly,CPU-cheb-dense,44,1.32,5.93415e+07,16.8516,8, 0.00501193,,0.00277167,0.00123567,0.00501193,
Smooth_poly,CPU-cheb-dense,48,1.85,9.98015e+07,10.0199,8, 0.00464642,,0.00291772,0.00122485,0.00464642,
Smooth_poly,CPU-cheb-dense,52,2.588,9.27917e+07,10.7768,8, 0.00318178,,0.00282363,0.00120198,0.00318178,
Smooth_poly,CPU-cheb-dense,56,2.868,1.73588e+08,5.76076,8, 0.00254485,,0.00254485,0.00116769,0.00244014,
Smooth_poly,CPU-cheb-dense,60,3.944,1.67755e+08,5.96106,8, 0.00309737,,0.00214911,0.00112263,0.00309737,
Smooth_poly,CPU-cheb-dense,64,5.007,3.34882e+08,2.98612,8, 0.002971,,0.00170186,0.00106814,0.002971,
Smooth_poly,CPU-cheb-dense,68,6.838,2.81028e+08,3.55837,8, 0.00211121,,0.00125883,0.00100516,0.00211121,
Smooth_poly,CPU-cheb-dense,72,7.486,4.72931e+08,2.11447,8, 0.0016695,,0.000969366,0.000934775,0.0016695,
Smooth_poly,CPU-cheb-dense,76,10.687,4.44358e+08,2.25044,8, 0.00215113,,0.00115944,0.000858446,0.00215113,
Smooth_poly,CPU-cheb-dense,80,10.77,9.02969e+08,1.10746,8, 0.00210549,,0.00126296,0.000777622,0.00210549,
Smooth_poly,CPU-cheb-dense,84,14.044,6.52018e+08,1.5337,8, 0.00153056,,0.00126726,0.000693929,0.00153056,
Smooth_poly,CPU-cheb-dense,88,18.094,1.14144e+09,0.876088,8, 0.00123301,,0.00118361,0.000609281,0.00123301,
Smooth_poly,CPU-cheb-dense,92,23.86,1.07652e+09,0.928919,8, 0.00160418,,0.00103477,0.000525742,0.00160418,
Smooth_poly,CPU-cheb-dense,96,28.42,3.20089e+09,0.312413,8, 0.00159129,,0.000847761,0.000445668,0.00159129,
Smooth_poly,CPU-cheb-dense,100,28.294,1.48146e+09,0.675011,8, 0.00117469,,0.000649101,0.000371893,0.00117469,
Smooth_poly,CPU-cheb-dense,104,42.299,3.1702e+09,0.315437,8, 0.00095815,,0.000554487,0.000309682,0.00095815,
Smooth_poly,CPU-cheb-dense,108,46.894,2.00743e+09,0.49815,8, 0.00125505,,0.000669315,0.000332501,0.00125505,
Smooth_poly,CPU-cheb-dense,112,44.578,3.19683e+09,0.31281,8, 0.00125686,,0.000738987,0.000351471,0.00125686,
Smooth_poly,CPU-cheb-dense,116,80.48,2.51243e+09,0.398021,8, 0.000938164,,0.000752752,0.000365955,0.000938164,
Smooth_poly,CPU-cheb-dense,120,65.996,4.01456e+09,0.249094,8, 0.00077205,,0.000714073,0.000375465,0.00077205,
Smooth_poly,CPU-cheb-dense,124,83.704,3.64438e+09,0.274395,8, 0.00101635,,0.00063417,0.000379686,0.00101635,
Smooth_poly,CPU-cheb-dense,128,82.933,5.25911e+09,0.190146,8, 0.00102508,,0.000527966,0.000378445,0.00102508,
Smooth_poly,CPU-cheb-dense,132,94.702,4.39523e+09,0.22752,8, 0.000771594,,0.000411147,0.000371735,0.000771594,
Smooth_poly,CPU-cheb-dense,136,122.725,7.89267e+09,0.1267,8, 0.000639218,,0.00036925,0.000359723,0.000639218,
Smooth_poly,CPU-cheb-dense,140,118.614,5.23462e+09,0.191036,8, 0.000844723,,0.000447897,0.000342736,0.000844723,
Smooth_poly,CPU-cheb-dense,144,133.429,8.84496e+09,0.113059,8, 0.00085669,,0.000498127,0.000321268,0.00085669,
Smooth_poly,CPU-cheb-dense,148,201.349,7.85433e+09,0.127318,8, 0.000649086,,0.000511615,0.000295992,0.000649086,
Smooth_poly,CPU-cheb-dense,152,182.762,9.87401e+09,0.101276,8, 0.000540519,,0.000489566,0.000267754,0.000540519,
Smooth_poly,CPU-cheb-dense,156,183.976,8.04868e+09,0.124244,8, 0.000716469,,0.000438707,0.000237596,0.000716469,
Smooth_poly,CPU-cheb-dense,160,219.159,1.38163e+10,0.072378,8, 0.000729825,,0.000368668,0.000206791,0.000729825,
Smooth_poly,CPU-cheb-dense,164,308.471,1.05408e+10,0.0948692,8, 0.000555886,,0.000289994,0.000176911,0.000555886,
Smooth_poly,CPU-cheb-dense,168,285.007,1.63007e+10,0.0613469,8, 0.000464829,,0.000268205,0.000152486,0.000464829,
Smooth_poly,CPU-cheb-dense,172,363.459,1.39774e+10,0.071544,8, 0.000617663,,0.000326319,0.000166722,0.000617663,
Smooth_poly,CPU-cheb-dense,176,356.845,2.35603e+10,0.0424443,8, 0.000631444,,0.000364568,0.000179382,0.000631444,
Smooth_poly,CPU-cheb-dense,180,384.672,1.44581e+10,0.0691654,8, 0.000483038,,0.000376399,0.000190006,0.000483038,
Smooth_poly,CPU-cheb-dense,184,451.578,2.39324e+10,0.0417844,8, 0.000405283,,0.000362186,0.000198202,0.000405283,
Smooth_poly,CPU-cheb-dense,188,562.413,1.74767e+10,0.0572191,8, 0.000539641,,0.000326452,0.000203647,0.000539641,
Smooth_poly,CPU-cheb-dense,192,459.812,2.93482e+10,0.0340737,8, 0.000553335,,0.000276019,0.000206109,0.000553335,
Smooth_poly,CPU-cheb-dense,196,544.177,3.05148e+10,0.032771,8, 0.00042482,,0.000218567,0.000205448,0.00042482,
Smooth_poly,CPU-cheb-dense,200,543.387,3.2397e+10,0.030867,8, 0.000357443,,0.00020608,0.000201626,0.000357443,
Smooth_poly,CPU-cheb-dense,204,684.035,2.75577e+10,0.0362876,8, 0.000476761,,0.000251256,0.000194714,0.000476761,
Smooth_poly,CPU-cheb-dense,208,631.915,4.02814e+10,0.0248254,8, 0.000490096,,0.000281581,0.000184897,0.000490096,
Smooth_poly,CPU-cheb-dense,212,951.949,3.34678e+10,0.0298795,8, 0.000377425,,0.000291768,0.000172482,0.000377425,
Smooth_poly,CPU-cheb-dense,216,869.147,4.36672e+10,0.0229005,8, 0.000318323,,0.000281838,0.000157906,0.000318323,
Smooth_poly,CPU-cheb-dense,220,811.637,3.25595e+10,0.030713,8, 0.000425206,,0.000255067,0.000141746,0.000425206,
Smooth_poly,CPU-cheb-dense,224,929.782,4.82144e+10,0.0207407,8, 0.000438047,,0.000216596,0.00012475,0.000438047,
