functionName,Bicubic/Quad/CPU,Bicubic/Sparse MM/CPU,Bicubic/Sparse MM/GPU,Cheb/Dense MM/CPU,Cheb/Dense MM/GPU,Linear/Quad/CPU,Linear/Sparse MM/CPU,Linear/Sparse MM/GPU,Padded FFT/CPU
non-smooth horn,0.45654767020665793,-1.3379196808241745,-1.3580894286305372,-1.5790895202809747,-1.5790895202809747,-0.05753571447368008,-1.3267704582968676,-1.3247189015476062,-0.4896967962094086
non-smooth ridge,-1.4130928413204291,-1.5441502181649154,-1.4848381074568386,-1.6945267310200178,-1.6945267310200178,-1.527799761731504,-1.5608572139039008,-1.5524643781431977,-1.5611235414415259
smooth bivariate runge,-2.860831172555145,-4.232010014514998,-4.537574423487097,-8.91398472559301,-8.650208378208546,-1.633673727653016,-1.5981602532287322,-1.6034649040099362,-1.530672622673309
smooth exponential,-4.888970882117426,-4.383136739018202,-4.484543760588338,-20.771725979996827,-20.992551907458733,-1.6353840112168225,-1.6088252574487927,-1.615569891722487,-1.7229949743054958
