FunctionName, Calculator,N,Init time (s), Calc.time(s), Calc.Freq(hz), Bytes, MaxError, FirstBlank, Err1, Err2, Err3, Blank
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,180,0.37,1.89143e+07,52.87,8, 1.94071e-11,,3.60453e-12,8.59008e-12,1.94071e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,184,0.225,2.68648e+07,37.2234,8, 1.63581e-11,,3.41132e-12,9.4485e-12,1.63581e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,188,0.226,3.54001e+07,28.2485,8, 1.18595e-11,,3.03781e-12,1.0274e-11,1.18595e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,192,0.28,2.32954e+07,42.927,8, 1.48367e-11,,2.67331e-12,1.10692e-11,1.48367e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,196,0.127,3.6659e+07,27.2784,8, 1.97191e-11,,2.45715e-12,1.18259e-11,1.97191e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,200,0.223,2.72027e+07,36.7611,8, 1.73438e-11,,3.17973e-12,1.25409e-11,1.73438e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,204,0.413,3.93264e+07,25.4282,8, 1.23175e-11,,3.44727e-12,5.32163e-12,1.23175e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,208,0.226,3.28385e+07,30.4521,8, 1.47729e-11,,3.60788e-12,6.24691e-12,1.47729e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,212,0.315,6.12379e+07,16.3298,8, 1.69737e-11,,3.3677e-12,7.20535e-12,1.69737e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,216,0.241,3.3017e+07,30.2874,8, 1.8065e-11,,3.23347e-12,8.19292e-12,1.8065e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,220,0.281,3.4373e+07,29.0926,8, 1.39869e-11,,2.75684e-12,9.20925e-12,1.39869e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,224,0.213,3.52668e+07,28.3553,8, 1.22619e-11,,2.44423e-12,3.54685e-12,1.22619e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,228,0.479,4.77596e+07,20.9382,8, 1.42684e-11,,2.30761e-12,3.25908e-12,1.42684e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,232,0.332,5.10064e+07,19.6054,8, 1.86005e-11,,3.06566e-12,3.98875e-12,1.86005e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,236,0.341,6.35286e+07,15.741,8, 1.52752e-11,,3.37605e-12,4.8283e-12,1.52752e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,240,0.474,4.71263e+07,21.2196,8, 9.95699e-12,,3.42314e-12,5.66822e-12,9.95699e-12,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,244,0.356,6.91303e+07,14.4654,8, 1.45242e-11,,3.23084e-12,6.50174e-12,1.45242e-11,
Smooth exp(-Ar^2-b*rho^2),DCT+Bessel+IDCT; on padded grid    ,248,0.329,5.42288e+07,18.4404,8, 1.59816e-11,,2.98534e-12,7.32717e-12,1.59816e-11,
