FunctionName, Calculator,N,Init time (s), Calc.time(s), Calc.Freq(hz), Bytes, MaxError, FirstBlank, Err1, Err2, Err3, Blank
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,52,0.65,8.93758e+07,11.1887,8, 6.09446e-11,,3.16489e-11,6.09446e-11,3.77831e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,56,0.758,1.65732e+08,6.03384,8, 2.47714e-11,,5.01307e-12,5.91335e-12,2.47714e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,60,1.065,1.53419e+08,6.51809,8, 2.43016e-11,,4.31469e-12,5.09695e-12,2.43016e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,64,1.213,2.929e+08,3.41414,8, 1.38933e-11,,3.7346e-12,5.32e-12,1.38933e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,68,1.507,2.63423e+08,3.79618,8, 1.98057e-11,,3.75133e-12,7.00623e-12,1.98057e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,72,1.877,4.74872e+08,2.10583,8, 2.31934e-11,,4.81429e-12,8.83527e-12,2.31934e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,76,2.26,4.49573e+08,2.22433,8, 2.44752e-11,,5.08981e-12,1.07746e-11,2.44752e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,80,2.647,7.99516e+08,1.25076,8, 1.50017e-11,,5.13577e-12,6.45249e-12,1.50017e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,84,3.052,6.99402e+08,1.42979,8, 1.71119e-11,,4.83058e-12,7.86685e-12,1.71119e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,88,3.688,1.1148e+09,0.897023,8, 2.14979e-11,,4.35993e-12,9.32819e-12,2.14979e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,92,4.422,9.54904e+08,1.04723,8, 2.46853e-11,,3.90436e-12,1.08226e-11,2.46853e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,96,4.785,1.57589e+09,0.634562,8, 2.20603e-11,,3.33478e-12,1.23374e-11,2.20603e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,100,5.811,1.34977e+09,0.740865,8, 1.38536e-11,,3.28589e-12,1.38536e-11,1.37237e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,104,7.028,2.18338e+09,0.458006,8, 1.94763e-11,,4.25833e-12,7.59375e-12,1.94763e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,108,7.264,1.80913e+09,0.552752,8, 2.204e-11,,4.58873e-12,8.59521e-12,2.204e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,112,9.703,2.91758e+09,0.34275,8, 2.24667e-11,,4.49585e-12,9.57659e-12,2.24667e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,116,10.842,2.3667e+09,0.42253,8, 1.23981e-11,,4.33314e-12,1.05317e-11,1.23981e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,120,10.123,3.82372e+09,0.261526,8, 1.7314e-11,,3.97483e-12,1.14524e-11,1.7314e-11,
Smooth exp(-Ar^2-b*rho^2),chebyshev interp; CPU Dense Matrix ,124,13.08,3.08108e+09,0.324562,8, 1.93832e-11,,3.61017e-12,1.23331e-11,1.93832e-11,
Smooth exp(-Ar^2-b*rho^2),linear interp; GPU Sparse Matrix   ,8,0.227,378338,2643.14,8, 0.484378,,0.484378,0.431963,0.429232,
Smooth exp(-Ar^2-b*rho^2),linear interp; GPU Sparse Matrix   ,12,0.018,84307,11861.4,8, 0.356146,,0.356146,0.253128,0.345279,
