functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
NonsmoothRungeAbs,CPUDCTPadded,8,0.007,50277,19889.8,8, 0.0853648,,0.038277,0.0853648,0.0624319,
NonsmoothRungeAbs,CPUDCTPadded,12,0.025,56244,17779.7,8, 0.0451877,,0.0375092,0.0322682,0.0451877,
NonsmoothRungeAbs,CPUDCTPadded,16,0.013,80923,12357.4,8, 0.0309749,,0.0309749,0.0220325,0.0277763,
NonsmoothRungeAbs,CPUDCTPadded,20,0.046,159867,6255.2,8, 0.0271559,,0.0271559,0.0182534,0.0203312,
NonsmoothRungeAbs,CPUDCTPadded,24,0.042,219236,4561.29,8, 0.0219233,,0.0219233,0.0138523,0.0189949,
NonsmoothRungeAbs,CPUDCTPadded,28,0.027,310665,3218.9,8, 0.0219488,,0.0208535,0.0111614,0.0219488,
NonsmoothRungeAbs,CPUDCTPadded,32,0.018,309638,3229.58,8, 0.0199099,,0.0199099,0.00977524,0.0152236,
NonsmoothRungeAbs,CPUDCTPadded,36,0.065,509648,1962.14,8, 0.0132221,,0.0118622,0.00884997,0.0132221,
NonsmoothRungeAbs,CPUDCTPadded,40,0.073,670497,1491.43,8, 0.0130441,,0.0103477,0.00804504,0.0130441,
NonsmoothRungeAbs,CPUDCTPadded,44,0.022,749310,1334.56,8, 0.0151605,,0.00979437,0.00809212,0.0151605,
NonsmoothRungeAbs,CPUDCTPadded,48,0.075,935188,1069.3,8, 0.010961,,0.0095636,0.00819799,0.010961,
NonsmoothRungeAbs,CPUDCTPadded,52,0.025,1.16377e+06,859.275,8, 0.0101664,,0.0101664,0.00939177,0.00992367,
NonsmoothRungeAbs,CPUDCTPadded,56,0.03,1.32267e+06,756.048,8, 0.0110958,,0.0110958,0.00865594,0.0100404,
NonsmoothRungeAbs,CPUDCTPadded,60,0.145,1.45392e+06,687.795,8, 0.0127278,,0.0127278,0.0080734,0.0117602,
NonsmoothRungeAbs,CPUDCTPadded,64,0.031,1.38592e+06,721.543,8, 0.0126128,,0.0126128,0.00706533,0.0086767,
NonsmoothRungeAbs,CPUDCTPadded,68,0.059,2.89884e+06,344.965,8, 0.00851723,,0.00851723,0.00633947,0.00803322,
NonsmoothRungeAbs,CPUDCTPadded,72,0.114,2.25357e+06,443.74,8, 0.00823848,,0.0077247,0.00532164,0.00823848,
NonsmoothRungeAbs,CPUDCTPadded,76,0.063,3.71195e+06,269.4,8, 0.00969562,,0.0073898,0.00462166,0.00969562,
NonsmoothRungeAbs,CPUDCTPadded,80,0.122,3.09001e+06,323.623,8, 0.00723933,,0.00703677,0.00459378,0.00723933,
NonsmoothRungeAbs,CPUDCTPadded,84,0.099,2.66556e+06,375.156,8, 0.00701573,,0.00701573,0.00432899,0.00679146,
NonsmoothRungeAbs,CPUDCTPadded,88,0.06,3.67285e+06,272.268,8, 0.00779325,,0.00779325,0.00422948,0.0070245,
NonsmoothRungeAbs,CPUDCTPadded,92,0.069,5.65894e+06,176.711,8, 0.00914223,,0.00914223,0.00404622,0.0082969,
NonsmoothRungeAbs,CPUDCTPadded,96,0.134,4.35727e+06,229.502,8, 0.00926705,,0.00926705,0.00392254,0.00624085,
NonsmoothRungeAbs,CPUDCTPadded,100,0.134,4.22908e+06,236.458,8, 0.00652107,,0.00652107,0.00382445,0.005904,
NonsmoothRungeAbs,CPUDCTPadded,104,0.05,5.25079e+06,190.448,8, 0.00614828,,0.00607195,0.00374454,0.00614828,
NonsmoothRungeAbs,CPUDCTPadded,108,0.126,5.32019e+06,187.963,8, 0.00727646,,0.00598321,0.00385313,0.00727646,
NonsmoothRungeAbs,CPUDCTPadded,112,0.06,5.07297e+06,197.123,8, 0.00586864,,0.00586864,0.00419462,0.00549923,
NonsmoothRungeAbs,CPUDCTPadded,116,0.086,9.76758e+06,102.38,8, 0.00556315,,0.00556315,0.0048899,0.00523343,
NonsmoothRungeAbs,CPUDCTPadded,120,0.237,6.60519e+06,151.396,8, 0.00603231,,0.00603231,0.00470279,0.00547669,
NonsmoothRungeAbs,CPUDCTPadded,124,0.097,9.90013e+06,101.009,8, 0.00713379,,0.00713379,0.00441094,0.00649237,
NonsmoothRungeAbs,CPUDCTPadded,128,0.089,7.68328e+06,130.153,8, 0.00730283,,0.00730283,0.00397523,0.00492476,
NonsmoothRungeAbs,CPUDCTPadded,132,0.117,8.14695e+06,122.745,8, 0.00519335,,0.00519335,0.00353566,0.00470907,
NonsmoothRungeAbs,CPUDCTPadded,136,0.132,1.17225e+07,85.3063,8, 0.00494881,,0.00487944,0.00307371,0.00494881,
NonsmoothRungeAbs,CPUDCTPadded,140,0.162,8.92785e+06,112.009,8, 0.00587584,,0.00487624,0.00282341,0.00587584,
NonsmoothRungeAbs,CPUDCTPadded,144,0.192,1.03631e+07,96.4962,8, 0.00486661,,0.00486661,0.00282676,0.00446847,
NonsmoothRungeAbs,CPUDCTPadded,148,0.119,1.82091e+07,54.9175,8, 0.00471894,,0.00471894,0.00274654,0.00428858,
