functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
SmoothPoly,CPULinearSparse,8,0.011,15808,63259.1,4, 0.100091,,0.100091,0.0580412,0.0847295,
SmoothPoly,CPULinearSparse,12,0.014,13148,76057.2,4, 0.0471356,,0.0443928,0.0313871,0.0471356,
SmoothPoly,CPULinearSparse,16,0.009,14780,67659,4, 0.0419509,,0.0235623,0.0229533,0.0419509,
SmoothPoly,CPULinearSparse,20,0.001,18061,55367.9,4, 0.0492374,,0.0110747,0.0178137,0.0492374,
SmoothPoly,CPULinearSparse,24,0.003,67668,14778,4, 0.0141872,,0.00366887,0.0141872,0.0107871,
SmoothPoly,CPULinearSparse,28,0.015,54571,18324.8,4, 0.0122958,,0.00320171,0.0115569,0.0122958,
SmoothPoly,CPULinearSparse,32,0.019,42931,23293.2,4, 0.0127044,,0.00765938,0.00918026,0.0127044,
SmoothPoly,CPULinearSparse,36,0.024,69314,14427.1,4, 0.0184645,,0.00573882,0.0069372,0.0184645,
SmoothPoly,CPULinearSparse,40,0.026,78767,12695.7,4, 0.00625395,,0.00625395,0.00478351,0.00496876,
SmoothPoly,CPULinearSparse,44,0.045,103793,9634.56,4, 0.00654868,,0.00526832,0.00228455,0.00654868,
SmoothPoly,CPULinearSparse,48,0.031,132124,7568.65,4, 0.00633528,,0.00373427,0.0032452,0.00633528,
SmoothPoly,CPULinearSparse,52,0.036,159507,6269.32,4, 0.0100134,,0.00203626,0.00424044,0.0100134,
SmoothPoly,CPULinearSparse,56,0.039,200964,4976.02,4, 0.00341169,,0.000614946,0.00276155,0.00341169,
SmoothPoly,CPULinearSparse,60,0.041,234446,4265.37,4, 0.0043497,,0.00138467,0.00183438,0.0043497,
SmoothPoly,CPULinearSparse,64,0.051,281684,3550.08,4, 0.00377861,,0.00292254,0.00107574,0.00377861,
SmoothPoly,CPULinearSparse,68,0.049,349026,2865.12,4, 0.0064739,,0.00220573,0.000514536,0.0064739,
SmoothPoly,CPULinearSparse,72,0.054,438508,2280.46,4, 0.00254872,,0.00254872,0.000703011,0.0025037,
SmoothPoly,CPULinearSparse,76,0.062,488046,2048.99,4, 0.00310966,,0.00225359,0.00109144,0.00310966,
SmoothPoly,CPULinearSparse,80,0.079,567390,1762.46,4, 0.00259327,,0.00168201,0.00136283,0.00259327,
SmoothPoly,CPULinearSparse,84,0.101,662062,1510.43,4, 0.00465797,,0.000968809,0.00151952,0.00465797,
SmoothPoly,CPULinearSparse,88,0.114,758114,1319.06,4, 0.00192363,,0.000232473,0.00158692,0.00192363,
SmoothPoly,CPULinearSparse,92,0.106,846271,1181.65,4, 0.00235153,,0.000803299,0.00156883,0.00235153,
SmoothPoly,CPULinearSparse,96,0.101,980264,1020.13,4, 0.00190321,,0.00164548,0.00145529,0.00190321,
SmoothPoly,CPULinearSparse,100,0.125,1.11068e+06,900.352,4, 0.00353086,,0.00124447,0.00124987,0.00353086,
SmoothPoly,CPULinearSparse,104,0.174,1.2622e+06,792.266,4, 0.00157728,,0.00146015,0.000929924,0.00157728,
SmoothPoly,CPULinearSparse,108,0.146,1.40305e+06,712.733,4, 0.00189954,,0.00132439,0.000653211,0.00189954,
SmoothPoly,CPULinearSparse,112,0.181,1.5457e+06,646.958,4, 0.00146566,,0.00101371,0.00102266,0.00146566,
SmoothPoly,CPULinearSparse,116,0.191,1.69584e+06,589.677,4, 0.00279346,,0.000600875,0.0013706,0.00279346,
SmoothPoly,CPULinearSparse,120,0.185,1.90684e+06,524.426,4, 0.00129583,,0.000123284,0.000944203,0.00129583,
SmoothPoly,CPULinearSparse,124,0.248,2.07844e+06,481.13,4, 0.00155724,,0.000549313,0.000608184,0.00155724,
SmoothPoly,CPULinearSparse,128,0.224,2.31809e+06,431.389,4, 0.00119114,,0.00109246,0.00037977,0.00119114,
SmoothPoly,CPULinearSparse,132,0.221,2.57712e+06,388.029,4, 0.00228796,,0.000824974,0.000188642,0.00228796,
SmoothPoly,CPULinearSparse,136,0.243,2.76898e+06,361.144,4, 0.00108026,,0.00097859,0.000213033,0.00108026,
SmoothPoly,CPULinearSparse,140,0.228,3.02742e+06,330.314,4, 0.00131695,,0.000897951,0.000385201,0.00131695,
SmoothPoly,CPULinearSparse,144,0.248,3.2879e+06,304.146,4, 0.000987606,,0.000698493,0.000515897,0.000987606,
SmoothPoly,CPULinearSparse,148,0.267,3.57293e+06,279.883,4, 0.00190155,,0.000413857,0.000604138,0.00190155,
SmoothPoly,CPULinearSparse,152,0.323,3.8559e+06,259.343,4, 0.000940401,,9.0663e-05,0.000658264,0.000940401,
SmoothPoly,CPULinearSparse,156,0.333,4.15464e+06,240.695,4, 0.00115238,,0.000404099,0.000668571,0.00115238,
SmoothPoly,CPULinearSparse,160,0.305,4.45106e+06,224.666,4, 0.000835263,,0.000795213,0.00063976,0.000835263,
SmoothPoly,CPULinearSparse,164,0.355,1.03809e+07,96.3312,4, 0.00161422,,0.000604779,0.000559968,0.00161422,
SmoothPoly,CPULinearSparse,168,0.347,5.236e+06,190.985,4, 0.000807444,,0.000713623,0.00041824,0.000807444,
SmoothPoly,CPULinearSparse,172,0.401,5.59424e+06,178.755,4, 0.00100896,,0.000664602,0.000333256,0.00100896,
SmoothPoly,CPULinearSparse,176,0.398,5.96184e+06,167.733,4, 0.000737968,,0.000518585,0.000543245,0.000737968,
SmoothPoly,CPULinearSparse,180,0.417,6.36281e+06,157.163,4, 0.00140859,,0.000312226,0.000730642,0.00140859,
SmoothPoly,CPULinearSparse,184,0.444,6.78043e+06,147.483,4, 0.000723136,,9.32934e-05,0.000519514,0.000723136,
SmoothPoly,CPULinearSparse,188,0.536,7.23436e+06,138.229,4, 0.000887639,,0.000315807,0.000327282,0.000887639,
SmoothPoly,CPULinearSparse,192,0.539,7.63726e+06,130.937,4, 0.000642232,,0.000614764,0.000210613,0.000642232,
SmoothPoly,CPULinearSparse,196,0.571,8.24674e+06,121.26,4, 0.00122478,,0.000464968,0.000111248,0.00122478,
SmoothPoly,CPULinearSparse,200,0.585,8.75339e+06,114.241,4, 0.000628857,,0.000552836,0.000117577,0.000628857,
SmoothPoly,CPULinearSparse,204,0.582,9.2964e+06,107.568,4, 0.000797137,,0.000516721,0.000207181,0.000797137,
SmoothPoly,CPULinearSparse,208,0.731,9.89943e+06,101.016,4, 0.000565299,,0.000407735,0.000282003,0.000565299,
SmoothPoly,CPULinearSparse,212,0.717,1.0431e+07,95.8683,4, 0.00109349,,0.000245617,0.000341624,0.00109349,
SmoothPoly,CPULinearSparse,216,0.706,1.09951e+07,90.95,4, 0.000577986,,0.00010514,0.000377973,0.000577986,
SmoothPoly,CPULinearSparse,220,0.751,1.16562e+07,85.7911,4, 0.000723594,,0.000257177,0.000388737,0.000723594,
SmoothPoly,CPULinearSparse,224,0.809,1.22342e+07,81.7381,4, 0.000516658,,0.000492683,0.000377972,0.000516658,
SmoothPoly,CPULinearSparse,228,0.811,1.30364e+07,76.7081,4, 0.000988652,,0.000374752,0.000335406,0.000988652,
SmoothPoly,CPULinearSparse,232,0.841,1.368e+07,73.0995,4, 0.000548238,,0.000448722,0.000251905,0.000548238,
SmoothPoly,CPULinearSparse,236,0.908,1.4799e+07,67.5719,4, 0.000662262,,0.000418808,0.000209149,0.000662262,
SmoothPoly,CPULinearSparse,240,0.942,1.50645e+07,66.3812,4, 0.000473154,,0.000331351,0.00035049,0.000473154,
SmoothPoly,CPULinearSparse,244,1.006,1.57409e+07,63.5287,4, 0.000892829,,0.000210346,0.000473485,0.000892829,
SmoothPoly,CPULinearSparse,248,1.124,2.72141e+07,36.7457,4, 0.000483712,,0.000115192,0.000341695,0.000483712,
SmoothPoly,CPULinearSparse,252,1.067,1.73361e+07,57.6831,4, 0.000612074,,0.000216083,0.000222604,0.000612074,
SmoothPoly,CPULinearSparse,256,1.125,1.81392e+07,55.1291,4, 0.000432752,,0.000409871,0.000143633,0.000432752,
SmoothPoly,CPULinearSparse,260,1.28,1.91335e+07,52.2644,4, 0.000830142,,0.000311453,7.8999e-05,0.000830142,
SmoothPoly,CPULinearSparse,264,1.257,2.00903e+07,49.7752,4, 0.000443213,,0.000378877,8.33862e-05,0.000443213,
SmoothPoly,CPULinearSparse,268,1.287,2.09553e+07,47.7207,4, 0.000571671,,0.000353901,0.000139937,0.000571671,
SmoothPoly,CPULinearSparse,272,1.322,2.18421e+07,45.7832,4, 0.000397389,,0.000275795,0.00019012,0.000397389,
SmoothPoly,CPULinearSparse,276,1.389,2.28771e+07,43.7119,4, 0.000770267,,0.000183289,0.000228023,0.000770267,
SmoothPoly,CPULinearSparse,280,1.518,2.39672e+07,41.7237,4, 0.000401941,,0.000123868,0.000254365,0.000401941,
SmoothPoly,CPULinearSparse,284,1.464,2.51431e+07,39.7724,4, 0.000527783,,0.000186966,0.000263954,0.000527783,
SmoothPoly,CPULinearSparse,288,1.56,2.60068e+07,38.4516,4, 0.000380918,,0.000354973,0.000255615,0.000380918,
SmoothPoly,CPULinearSparse,292,1.625,2.71791e+07,36.793,4, 0.000721824,,0.000265913,0.000231471,0.000721824,
SmoothPoly,CPULinearSparse,296,1.914,2.86873e+07,34.8587,4, 0.000390411,,0.00032475,0.000177308,0.000390411,
SmoothPoly,CPULinearSparse,300,1.823,2.95651e+07,33.8237,4, 0.000494067,,0.000301165,0.000149033,0.000494067,
SmoothPoly,CPULinearSparse,304,1.891,3.07893e+07,32.4788,4, 0.000356406,,0.000243308,0.000254705,0.000356406,
SmoothPoly,CPULinearSparse,308,1.891,3.18208e+07,31.426,4, 0.000657689,,0.000199625,0.000342828,0.000657689,
SmoothPoly,CPULinearSparse,312,1.984,3.32097e+07,30.1117,4, 0.000347202,,0.000141401,0.000252734,0.000347202,
SmoothPoly,CPULinearSparse,316,2.071,3.54905e+07,28.1765,4, 0.000493968,,0.00021991,0.00017094,0.000493968,
SmoothPoly,CPULinearSparse,320,2.105,3.57238e+07,27.9925,4, 0.000339936,,0.000303584,0.000116626,0.000339936,
SmoothPoly,CPULinearSparse,324,2.295,3.71564e+07,26.9132,4, 0.000617968,,0.000230382,7.24125e-05,0.000617968,
SmoothPoly,CPULinearSparse,328,2.312,3.86235e+07,25.891,4, 0.000359407,,0.000282921,7.71692e-05,0.000359407,
SmoothPoly,CPULinearSparse,332,2.33,4.0071e+07,24.9557,4, 0.000464226,,0.000266562,0.000113328,0.000464226,
