functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
NonsmoothSqrt,CPULinearSparse,8,0,46473,21517.9,8, 0.140203,,0.140203,0.0280518,0.018559,
NonsmoothSqrt,CPULinearSparse,12,0,13808,72421.8,8, 0.0870173,,0.0870173,0.018028,0.0128247,
NonsmoothSqrt,CPULinearSparse,16,0.008,16631,60128.7,8, 0.0611646,,0.0611646,0.0114984,0.00630446,
NonsmoothSqrt,CPULinearSparse,20,0.018,29094,34371.3,8, 0.0424922,,0.0424922,0.0105588,0.00649969,
NonsmoothSqrt,CPULinearSparse,24,0.02,36219,27609.8,8, 0.022176,,0.022176,0.00827356,0.00408335,
NonsmoothSqrt,CPULinearSparse,28,0.021,66285,15086.4,8, 0.0126838,,0.0126838,0.00729018,0.00359502,
NonsmoothSqrt,CPULinearSparse,32,0.033,60505,16527.6,8, 0.00665559,,0.00665559,0.00590009,0.0023535,
NonsmoothSqrt,CPULinearSparse,36,0.027,71489,13988.2,8, 0.0178522,,0.0178522,0.00513366,0.00341666,
NonsmoothSqrt,CPULinearSparse,40,0.033,103548,9657.36,8, 0.0194846,,0.0194846,0.00365435,0.00195375,
NonsmoothSqrt,CPULinearSparse,44,0.031,135399,7385.58,8, 0.0194069,,0.0194069,0.00289129,0.0015934,
NonsmoothSqrt,CPULinearSparse,48,0.035,166885,5992.15,8, 0.0156433,,0.0156433,0.00271663,0.00136321,
NonsmoothSqrt,CPULinearSparse,52,0.034,193108,5178.45,8, 0.0100522,,0.0100522,0.00280003,0.00176529,
NonsmoothSqrt,CPULinearSparse,56,0.042,257451,3884.23,8, 0.00742297,,0.00742297,0.00190847,0.00152239,
NonsmoothSqrt,CPULinearSparse,60,0.054,316289,3161.67,8, 0.00704867,,0.00704867,0.00192366,0.00118842,
NonsmoothSqrt,CPULinearSparse,64,0.048,409703,2440.79,8, 0.0102224,,0.0102224,0.00143473,0.000909849,
NonsmoothSqrt,CPULinearSparse,68,0.053,509631,1962.2,8, 0.00749387,,0.00749387,0.00121007,0.00131281,
NonsmoothSqrt,CPULinearSparse,72,0.067,661445,1511.84,8, 0.010161,,0.010161,0.00118584,0.00107553,
NonsmoothSqrt,CPULinearSparse,76,0.074,727355,1374.84,8, 0.00835845,,0.00835845,0.00111428,0.000757857,
NonsmoothSqrt,CPULinearSparse,80,0.099,818650,1221.52,8, 0.00648636,,0.00648636,0.00122163,0.000733869,
NonsmoothSqrt,CPULinearSparse,84,0.1,1.0228e+06,977.704,8, 0.00503846,,0.00503846,0.00130311,0.0010143,
NonsmoothSqrt,CPULinearSparse,88,0.132,1.21658e+06,821.978,8, 0.0041027,,0.0041027,0.00145132,0.000809758,
NonsmoothSqrt,CPULinearSparse,92,0.09,1.19819e+06,834.595,8, 0.00342104,,0.00342104,0.00131345,0.000634991,
NonsmoothSqrt,CPULinearSparse,96,0.119,1.40558e+06,711.451,8, 0.00582528,,0.00582528,0.00129733,0.000658113,
NonsmoothSqrt,CPULinearSparse,100,0.173,1.60952e+06,621.305,8, 0.00452491,,0.00452491,0.00129155,0.000794956,
NonsmoothSqrt,CPULinearSparse,104,0.168,2.2315e+06,448.13,8, 0.00506637,,0.00506637,0.00110631,0.000635674,
NonsmoothSqrt,CPULinearSparse,108,0.136,2.19402e+06,455.783,8, 0.00481268,,0.00481268,0.00105436,0.000480896,
NonsmoothSqrt,CPULinearSparse,112,0.163,2.68874e+06,371.921,8, 0.00436306,,0.00436306,0.000795528,0.000459829,
NonsmoothSqrt,CPULinearSparse,116,0.183,6.56193e+06,152.394,8, 0.00310935,,0.00310935,0.000942902,0.000682141,
NonsmoothSqrt,CPULinearSparse,120,0.206,2.54962e+06,392.215,8, 0.00273086,,0.00273086,0.000803138,0.000536713,
NonsmoothSqrt,CPULinearSparse,124,0.246,3.66251e+06,273.036,8, 0.0024079,,0.0024079,0.000615442,0.000395392,
NonsmoothSqrt,CPULinearSparse,128,0.244,3.886e+06,257.334,8, 0.00390945,,0.00390945,0.000541892,0.000435759,
NonsmoothSqrt,CPULinearSparse,132,0.271,4.54612e+06,219.968,8, 0.00300387,,0.00300387,0.000518417,0.000583589,
NonsmoothSqrt,CPULinearSparse,136,0.315,5.25628e+06,190.249,8, 0.00361411,,0.00361411,0.000480408,0.000511944,
NonsmoothSqrt,CPULinearSparse,140,0.304,5.56991e+06,179.536,8, 0.00357681,,0.00357681,0.000535257,0.00034875,
NonsmoothSqrt,CPULinearSparse,144,0.339,5.6973e+06,175.522,8, 0.00296192,,0.00296192,0.000606638,0.000340884,
NonsmoothSqrt,CPULinearSparse,148,0.366,6.21112e+06,161.002,8, 0.00256142,,0.00256142,0.000584128,0.000479747,
NonsmoothSqrt,CPULinearSparse,152,0.393,5.04686e+06,198.143,8, 0.00226116,,0.00226116,0.000642684,0.000416183,
NonsmoothSqrt,CPULinearSparse,156,0.463,5.3908e+06,185.501,8, 0.0017484,,0.0017484,0.000749885,0.000277507,
NonsmoothSqrt,CPULinearSparse,160,0.418,7.87999e+06,126.904,8, 0.00274577,,0.00274577,0.000646066,0.000314186,
NonsmoothSqrt,CPULinearSparse,164,0.482,8.61948e+06,116.016,8, 0.00245765,,0.00245765,0.000713073,0.000438299,
NonsmoothSqrt,CPULinearSparse,168,0.522,6.47496e+06,154.441,8, 0.0026067,,0.0026067,0.000613032,0.00039853,
NonsmoothSqrt,CPULinearSparse,172,0.501,7.02572e+06,142.334,8, 0.00265657,,0.00265657,0.000525139,0.000272207,
NonsmoothSqrt,CPULinearSparse,176,0.594,1.01875e+07,98.1599,8, 0.0022403,,0.0022403,0.000385182,0.000293716,
NonsmoothSqrt,CPULinearSparse,180,0.628,8.34381e+06,119.849,8, 0.00180217,,0.00180217,0.000532007,0.000399034,
NonsmoothSqrt,CPULinearSparse,184,0.591,1.28129e+07,78.0466,8, 0.00146402,,0.00146402,0.00041068,0.000342396,
NonsmoothSqrt,CPULinearSparse,188,0.675,9.47902e+06,105.496,8, 0.00124141,,0.00124141,0.000366596,0.00023202,
NonsmoothSqrt,CPULinearSparse,192,0.722,1.43667e+07,69.6055,8, 0.00218698,,0.00218698,0.000340109,0.000240408,
NonsmoothSqrt,CPULinearSparse,196,0.786,1.582e+07,63.2109,8, 0.00209548,,0.00209548,0.000292295,0.000361245,
NonsmoothSqrt,CPULinearSparse,200,0.753,1.14009e+07,87.7122,8, 0.00210654,,0.00210654,0.000285757,0.000290275,
NonsmoothSqrt,CPULinearSparse,204,0.86,1.64371e+07,60.838,8, 0.00212074,,0.00212074,0.000304294,0.000200357,
NonsmoothSqrt,CPULinearSparse,208,0.911,1.42451e+07,70.1995,8, 0.00166129,,0.00166129,0.000392518,0.000244472,
NonsmoothSqrt,CPULinearSparse,212,0.884,1.54722e+07,64.6319,8, 0.0014155,,0.0014155,0.000383963,0.000303938,
NonsmoothSqrt,CPULinearSparse,216,1.049,1.53831e+07,65.0063,8, 0.0011857,,0.0011857,0.000440155,0.000273982,
NonsmoothSqrt,CPULinearSparse,220,0.99,2.16125e+07,46.2695,8, 0.00131854,,0.00131854,0.000437425,0.000193452,
NonsmoothSqrt,CPULinearSparse,224,1.169,1.75276e+07,57.0528,8, 0.00180689,,0.00180689,0.00044658,0.000197957,
NonsmoothSqrt,CPULinearSparse,228,1.111,2.09302e+07,47.7778,8, 0.00153223,,0.00153223,0.000424619,0.000296732,
NonsmoothSqrt,CPULinearSparse,232,1.172,2.64956e+07,37.7422,8, 0.00172422,,0.00172422,0.000431036,0.000240959,
NonsmoothSqrt,CPULinearSparse,236,1.258,3.05408e+07,32.7431,8, 0.0017516,,0.0017516,0.000405802,0.00016007,
NonsmoothSqrt,CPULinearSparse,240,1.339,2.85128e+07,35.072,8, 0.00141867,,0.00141867,0.00029144,0.000191865,
NonsmoothSqrt,CPULinearSparse,244,1.499,1.89694e+07,52.7165,8, 0.00105458,,0.00105458,0.00035901,0.000274815,
NonsmoothSqrt,CPULinearSparse,248,1.425,2.07649e+07,48.1583,8, 0.0010498,,0.0010498,0.000291796,0.000228678,
NonsmoothSqrt,CPULinearSparse,252,1.512,2.39443e+07,41.7637,8, 0.00100742,,0.00100742,0.000265553,0.000166165,
NonsmoothSqrt,CPULinearSparse,256,1.643,2.19598e+07,45.5378,8, 0.00153232,,0.00153232,0.000200994,0.00019024,
NonsmoothSqrt,CPULinearSparse,260,1.632,2.61913e+07,38.1806,8, 0.00121731,,0.00121731,0.000199671,0.000234637,
NonsmoothSqrt,CPULinearSparse,264,1.81,2.74099e+07,36.4832,8, 0.00156473,,0.00156473,0.000203887,0.000219925,
NonsmoothSqrt,CPULinearSparse,268,1.844,3.95248e+07,25.3006,8, 0.00141006,,0.00141006,0.000211569,0.000137152,
NonsmoothSqrt,CPULinearSparse,272,1.872,2.74421e+07,36.4403,8, 0.00114698,,0.00114698,0.000261311,0.000156699,
NonsmoothSqrt,CPULinearSparse,276,2.1,4.31746e+07,23.1618,8, 0.000896157,,0.000896157,0.000293542,0.000235125,
NonsmoothSqrt,CPULinearSparse,280,2.116,2.95887e+07,33.7967,8, 0.000933503,,0.000933503,0.00030518,0.00020017,
NonsmoothSqrt,CPULinearSparse,284,2.154,4.25666e+07,23.4926,8, 0.000799716,,0.000799716,0.000312734,0.000131266,
NonsmoothSqrt,CPULinearSparse,288,2.242,4.85881e+07,20.5812,8, 0.00125562,,0.00125562,0.000342411,0.00015889,
NonsmoothSqrt,CPULinearSparse,292,2.461,3.87157e+07,25.8293,8, 0.00100588,,0.00100588,0.000313777,0.000213358,
NonsmoothSqrt,CPULinearSparse,296,2.487,3.58793e+07,27.8712,8, 0.00147731,,0.00147731,0.000306678,0.000210675,
NonsmoothSqrt,CPULinearSparse,300,2.653,3.95721e+07,25.2703,8, 0.00115848,,0.00115848,0.000263026,0.000127337,
NonsmoothSqrt,CPULinearSparse,304,2.678,5.19677e+07,19.2427,8, 0.00107181,,0.00107181,0.000186226,0.000145758,
NonsmoothSqrt,CPULinearSparse,308,2.819,5.09766e+07,19.6168,8, 0.000944712,,0.000944712,0.000265392,0.000201205,
NonsmoothSqrt,CPULinearSparse,312,2.82,4.21882e+07,23.7033,8, 0.000811113,,0.000811113,0.000222371,0.000177444,
NonsmoothSqrt,CPULinearSparse,316,3.056,5.26938e+07,18.9776,8, 0.000666969,,0.000666969,0.000166728,0.000108097,
NonsmoothSqrt,CPULinearSparse,320,3.125,4.74669e+07,21.0673,8, 0.00111105,,0.00111105,0.000167801,0.000128613,
NonsmoothSqrt,CPULinearSparse,324,3.324,5.7698e+07,17.3316,8, 0.000902776,,0.000902776,0.000133578,0.000182822,
NonsmoothSqrt,CPULinearSparse,328,3.323,6.09915e+07,16.3957,8, 0.00118508,,0.00118508,0.000157443,0.000162806,
NonsmoothSqrt,CPULinearSparse,332,3.616,5.24988e+07,19.0481,8, 0.00102645,,0.00102645,0.00016762,0.000114502,
NonsmoothSqrt,CPULinearSparse,336,3.694,5.35014e+07,18.6911,8, 0.000977759,,0.000977759,0.000230266,0.000139532,
NonsmoothSqrt,CPULinearSparse,340,3.836,5.61833e+07,17.7989,8, 0.000705168,,0.000705168,0.000209031,0.000170442,
NonsmoothSqrt,CPULinearSparse,344,3.981,5.75681e+07,17.3707,8, 0.000627231,,0.000627231,0.000249118,0.000152779,
NonsmoothSqrt,CPULinearSparse,348,4.163,6.03861e+07,16.5601,8, 0.000606924,,0.000606924,0.000241273,9.71798e-05,
NonsmoothSqrt,CPULinearSparse,352,4.38,6.1851e+07,16.1679,8, 0.000981776,,0.000981776,0.000241906,0.000120346,
NonsmoothSqrt,CPULinearSparse,356,4.471,6.52829e+07,15.3179,8, 0.000864957,,0.000864957,0.000266684,0.000178643,
NonsmoothSqrt,CPULinearSparse,360,4.671,6.71786e+07,14.8857,8, 0.000987443,,0.000987443,0.000237108,0.000142452,
NonsmoothSqrt,CPULinearSparse,364,4.733,7.15182e+07,13.9825,8, 0.000943814,,0.000943814,0.000207503,9.37205e-05,
NonsmoothSqrt,CPULinearSparse,368,4.909,7.20388e+07,13.8814,8, 0.000808189,,0.000808189,0.000152191,0.000107185,
NonsmoothSqrt,CPULinearSparse,372,5.164,7.47262e+07,13.3822,8, 0.000628816,,0.000628816,0.000208064,0.000158315,
NonsmoothSqrt,CPULinearSparse,376,5.263,7.75461e+07,12.8955,8, 0.000585669,,0.000585669,0.000162896,0.00014168,
NonsmoothSqrt,CPULinearSparse,380,5.403,7.99942e+07,12.5009,8, 0.000612103,,0.000612103,0.000152591,9.31566e-05,
NonsmoothSqrt,CPULinearSparse,384,5.603,8.22697e+07,12.1551,8, 0.000874914,,0.000874914,0.000118168,0.000108735,
NonsmoothSqrt,CPULinearSparse,388,5.817,8.68494e+07,11.5142,8, 0.000708176,,0.000708176,0.000107489,0.000146323,
NonsmoothSqrt,CPULinearSparse,392,5.996,8.84796e+07,11.302,8, 0.00084564,,0.00084564,0.000115325,0.000127029,
NonsmoothSqrt,CPULinearSparse,396,6.084,9.492e+07,10.5352,8, 0.000933007,,0.000933007,0.000145474,8.04356e-05,
NonsmoothSqrt,CPULinearSparse,400,6.308,9.51978e+07,10.5044,8, 0.000691199,,0.000691199,0.000159602,0.000105951,
