function_name, calculator,N,init-time, calc-time, calc-hz, bytes, max-error, blank-column, err1, err2, err3, Blank
Nonsmooth_abs,CPU-linear-quad,8,0,3.66228e+07,27.3054,8, 0.485522,,0.485522,0.23264,0.305251,
Nonsmooth_abs,CPU-linear-quad,12,0,5.86508e+07,17.0501,8, 0.342779,,0.342779,0.176703,0.291589,
Nonsmooth_abs,CPU-linear-quad,16,0,1.67466e+08,5.97135,8, 0.21116,,0.21116,0.0805152,0.125244,
Nonsmooth_abs,CPU-linear-quad,20,0,4.43667e+08,2.25394,8, 0.119104,,0.119104,0.0595224,0.069367,
Nonsmooth_abs,CPU-linear-quad,24,0,7.1572e+08,1.39719,8, 0.0631507,,0.0556338,0.0559289,0.0631507,
Nonsmooth_abs,CPU-linear-quad,28,0,1.19432e+09,0.837296,8, 0.0882966,,0.0104521,0.0520018,0.0882966,
Nonsmooth_abs,CPU-linear-quad,32,0,1.80362e+09,0.554442,8, 0.0452629,,0.0229865,0.0452629,0.0294034,
Nonsmooth_abs,CPU-linear-quad,36,0,2.83643e+09,0.352556,8, 0.0539657,,0.0539657,0.0346532,0.0238829,
Nonsmooth_abs,CPU-linear-quad,40,0,4.16303e+09,0.240209,8, 0.0650082,,0.0650082,0.0230578,0.0227247,
Nonsmooth_abs,CPU-linear-quad,44,0,5.74487e+09,0.174068,8, 0.0610852,,0.0610852,0.0170241,0.0365495,
Nonsmooth_abs,CPU-linear-quad,48,0,8.18568e+09,0.122165,8, 0.0441459,,0.0441459,0.0413347,0.0126439,
Nonsmooth_abs,CPU-linear-quad,52,0,1.13517e+10,0.0880929,8, 0.0496496,,0.0213317,0.0496496,0.0132117,
Nonsmooth_abs,CPU-linear-quad,56,0,1.5321e+10,0.06527,8, 0.0345717,,0.0105061,0.0345717,0.015339,
Nonsmooth_abs,CPU-linear-quad,60,0,1.89693e+10,0.0527168,8, 0.027448,,0.0140029,0.027448,0.0215143,
Nonsmooth_abs,CPU-linear-quad,64,0,2.49117e+10,0.0401418,8, 0.0277109,,0.0277109,0.0180993,0.010778,
Nonsmooth_abs,CPU-linear-quad,68,0,3.32174e+10,0.0301047,8, inf,,0.0185351,0.012069,inf,
Nonsmooth_abs,CPU-linear-quad,72,0,4.04372e+10,0.0247297,8, 0.0294548,,0.0294548,0.00927419,0.0108245,
Nonsmooth_abs,CPU-linear-quad,76,0,4.8133e+10,0.0207758,8, 0.0242026,,0.0242026,0.00658112,0.013831,
Nonsmooth_abs,CPU-linear-quad,80,0,5.90968e+10,0.0169214,8, 0.0167336,,0.0167336,0.00559686,0.00907862,
Nonsmooth_abs,CPU-linear-quad,84,0,7.37436e+10,0.0135605,8, 0.00951428,,0.00951428,0.00757588,0.00913982,
Nonsmooth_abs,CPU-linear-quad,88,0,9.06108e+10,0.0110362,8, 0.0119522,,0.0048582,0.00885068,0.0119522,
