functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
SmoothPoly,CPULinearQuad,8,0,1.22491e+08,8.16389,4, 0.100091,,0.100091,0.0580419,0.0847308,
SmoothPoly,CPULinearQuad,12,0,2.71366e+08,3.68506,4, 0.0471351,,0.0443927,0.0313876,0.0471351,
SmoothPoly,CPULinearQuad,16,0,6.24326e+08,1.60173,4, 0.0419491,,0.0235623,0.0229531,0.0419491,
SmoothPoly,CPULinearQuad,20,0,1.11984e+09,0.892987,4, 0.0492379,,0.0110747,0.0178134,0.0492379,
SmoothPoly,CPULinearQuad,24,0,1.74385e+09,0.573444,4, 0.0141876,,0.00366899,0.0141876,0.010787,
SmoothPoly,CPULinearQuad,28,0,2.57133e+09,0.388904,4, 0.0122962,,0.00320168,0.0115567,0.0122962,
SmoothPoly,CPULinearQuad,32,0,3.44312e+09,0.290434,4, 0.0127007,,0.00765937,0.00918038,0.0127007,
SmoothPoly,CPULinearQuad,36,0,4.66785e+09,0.214231,4, 0.0184624,,0.0057384,0.00693702,0.0184624,
SmoothPoly,CPULinearQuad,40,0,6.21248e+09,0.160966,4, 0.00625353,,0.00625353,0.00478321,0.00496594,
SmoothPoly,CPULinearQuad,44,0,8.00282e+09,0.124956,4, 0.00654829,,0.00526778,0.00228417,0.00654829,
SmoothPoly,CPULinearQuad,48,0,9.25406e+09,0.108061,4, 0.00632858,,0.00373376,0.00324596,0.00632858,
SmoothPoly,CPULinearQuad,52,0,1.18381e+10,0.0844728,4, 0.0100128,,0.00203583,0.00423983,0.0100128,
SmoothPoly,CPULinearQuad,56,0,1.45878e+10,0.0685504,4, 0.00340995,,0.000614827,0.00276141,0.00340995,
SmoothPoly,CPULinearQuad,60,0,1.66875e+10,0.059925,4, 0.00434796,,0.00138475,0.00183453,0.00434796,
SmoothPoly,CPULinearQuad,64,0,1.93712e+10,0.051623,4, 0.00377619,,0.00292244,0.00107398,0.00377619,
SmoothPoly,CPULinearQuad,68,0,2.38249e+10,0.0419729,4, 0.00647332,,0.00229869,0.000513522,0.00647332,
SmoothPoly,CPULinearQuad,72,0,2.60593e+10,0.038374,4, 0.00254842,,0.00254842,0.000702707,0.00249575,
SmoothPoly,CPULinearQuad,76,0,3.03583e+10,0.0329399,4, 0.00311034,,0.00225153,0.00109147,0.00311034,
SmoothPoly,CPULinearQuad,80,0,3.53766e+10,0.0282673,4, 0.00259347,,0.00168114,0.00136256,0.00259347,
SmoothPoly,CPULinearQuad,84,0,3.99278e+10,0.0250452,4, 0.00465759,,0.000968383,0.00151906,0.00465759,
SmoothPoly,CPULinearQuad,88,0,4.38602e+10,0.0227997,4, 0.00192537,,0.000232414,0.00158722,0.00192537,
SmoothPoly,CPULinearQuad,92,0,4.84384e+10,0.0206448,4, 0.00235309,,0.000803329,0.0015688,0.00235309,
SmoothPoly,CPULinearQuad,96,0,5.52646e+10,0.0180948,4, 0.00190428,,0.00164605,0.00145472,0.00190428,
SmoothPoly,CPULinearQuad,100,0,6.11793e+10,0.0163454,4, 0.0035296,,0.00124318,0.00125123,0.0035296,
SmoothPoly,CPULinearQuad,104,0,6.90261e+10,0.0144873,4, 0.00157466,,0.00145776,0.000930303,0.00157466,
SmoothPoly,CPULinearQuad,108,0,7.22433e+10,0.0138421,4, 0.00209626,,0.00132187,0.000656812,0.00209626,
SmoothPoly,CPULinearQuad,112,0,8.19676e+10,0.0121999,4, 0.00146595,,0.00101175,0.00102224,0.00146595,
SmoothPoly,CPULinearQuad,116,0,8.83752e+10,0.0113154,4, 0.00279007,,0.000597329,0.0013703,0.00279007,
SmoothPoly,CPULinearQuad,120,0,9.69441e+10,0.0103152,4, 0.00129254,,0.000117359,0.000943331,0.00129254,
