functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
NonsmoothAbs,CPUBicubicQuad,8,0,1.2218e+09,0.818467,4, 0.136074,,0.066041,0.136074,0.0878423,
NonsmoothAbs,CPUBicubicQuad,12,0,3.18253e+09,0.314215,4, 0.0398654,,0.0331388,0.0398654,0.0282377,
NonsmoothAbs,CPUBicubicQuad,16,0,5.44216e+09,0.183751,4, 0.0208307,,0.0208307,0.0164839,0.0140838,
NonsmoothAbs,CPUBicubicQuad,20,0,8.5503e+09,0.116955,4, 0.0226302,,0.0226302,0.0130102,0.0138752,
NonsmoothAbs,CPUBicubicQuad,24,0,1.21481e+10,0.0823172,4, 0.0593185,,0.0593185,0.0312407,0.0224389,
NonsmoothAbs,CPUBicubicQuad,28,0,1.63329e+10,0.0612263,4, 0.0684286,,0.0684286,0.0321475,0.0211762,
NonsmoothAbs,CPUBicubicQuad,32,0,2.0696e+10,0.0483185,4, 0.274546,,0.274546,0.092213,0.0754753,
NonsmoothAbs,CPUBicubicQuad,36,0,2.66518e+10,0.037521,4, 0.181384,,0.181384,0.0854899,0.0681918,
NonsmoothAbs,CPUBicubicQuad,40,0,3.19709e+10,0.0312784,4, 0.383643,,0.383643,0.239336,0.197037,
NonsmoothAbs,CPUBicubicQuad,44,0,3.86169e+10,0.0258954,4, 0.38924,,0.38924,0.195712,0.179019,
NonsmoothAbs,CPUBicubicQuad,48,0,4.48047e+10,0.0223191,4, 0.598335,,0.598335,0.371255,0.278249,
NonsmoothAbs,CPUBicubicQuad,52,0,5.24632e+10,0.019061,4, 1.18838,,1.18838,0.374309,0.306573,
NonsmoothAbs,CPUBicubicQuad,56,0,5.94801e+10,0.0168124,4, 0.940731,,0.940731,0.444735,0.377956,
NonsmoothAbs,CPUBicubicQuad,60,0,6.87735e+10,0.0145405,4, 3.07796,,3.07796,1.18258,0.939462,
NonsmoothAbs,CPUBicubicQuad,64,0,7.63746e+10,0.0130934,4, 1.50146,,1.50146,0.691039,0.459444,
NonsmoothAbs,CPUBicubicQuad,68,0,8.80153e+10,0.0113617,4, 1.89741,,1.89741,1.00084,0.810422,
NonsmoothAbs,CPUBicubicQuad,72,0,9.49022e+10,0.0105372,4, 3.96961,,3.96961,1.42849,1.17353,
