functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
SmoothPoly,CPULinearSparse,8,0,13622,73410.7,4, 0.100091,,0.100091,0.0580412,0.0847295,
SmoothPoly,CPULinearSparse,12,0,13117,76236.9,4, 0.0471356,,0.0443928,0.0313871,0.0471356,
SmoothPoly,CPULinearSparse,16,0,14058,71133.9,4, 0.0419509,,0.0235623,0.0229533,0.0419509,
SmoothPoly,CPULinearSparse,20,0,19909,50228.5,4, 0.0492374,,0.0110747,0.0178137,0.0492374,
SmoothPoly,CPULinearSparse,24,0,27779,35998.4,4, 0.0141872,,0.00366887,0.0141872,0.0107871,
SmoothPoly,CPULinearSparse,28,0.006,31925,31323.4,4, 0.0122958,,0.00320171,0.0115569,0.0122958,
SmoothPoly,CPULinearSparse,32,0.014,44578,22432.6,4, 0.0127044,,0.00765938,0.00918026,0.0127044,
SmoothPoly,CPULinearSparse,36,0.026,59851,16708.2,4, 0.0184645,,0.00573882,0.0069372,0.0184645,
SmoothPoly,CPULinearSparse,40,0.023,83565,11966.7,4, 0.00625395,,0.00625395,0.00478351,0.00496876,
SmoothPoly,CPULinearSparse,44,0.026,101807,9822.51,4, 0.00654868,,0.00526832,0.00228455,0.00654868,
SmoothPoly,CPULinearSparse,48,0.032,130639,7654.68,4, 0.00633528,,0.00373427,0.0032452,0.00633528,
SmoothPoly,CPULinearSparse,52,0.036,160591,6227,4, 0.0100134,,0.00203626,0.00424044,0.0100134,
SmoothPoly,CPULinearSparse,56,0.057,200548,4986.34,4, 0.00341169,,0.000614946,0.00276155,0.00341169,
SmoothPoly,CPULinearSparse,60,0.042,242401,4125.4,4, 0.0043497,,0.00138467,0.00183438,0.0043497,
SmoothPoly,CPULinearSparse,64,0.052,300499,3327.8,4, 0.00377861,,0.00292254,0.00107574,0.00377861,
SmoothPoly,CPULinearSparse,68,0.052,360813,2771.52,4, 0.0064739,,0.00220573,0.000514536,0.0064739,
SmoothPoly,CPULinearSparse,72,0.05,429598,2327.76,4, 0.00254872,,0.00254872,0.000703011,0.0025037,
SmoothPoly,CPULinearSparse,76,0.06,497483,2010.12,4, 0.00310966,,0.00225359,0.00109144,0.00310966,
SmoothPoly,CPULinearSparse,80,0.073,578054,1729.94,4, 0.00259327,,0.00168201,0.00136283,0.00259327,
SmoothPoly,CPULinearSparse,84,0.082,657916,1519.95,4, 0.00465797,,0.000968809,0.00151952,0.00465797,
SmoothPoly,CPULinearSparse,88,0.09,774967,1290.38,4, 0.00192363,,0.000232473,0.00158692,0.00192363,
SmoothPoly,CPULinearSparse,92,0.122,865116,1155.91,4, 0.00235153,,0.000803299,0.00156883,0.00235153,
SmoothPoly,CPULinearSparse,96,0.121,973760,1026.95,4, 0.00190321,,0.00164548,0.00145529,0.00190321,
SmoothPoly,CPULinearSparse,100,0.135,1.11374e+06,897.88,4, 0.00353086,,0.00124447,0.00124987,0.00353086,
SmoothPoly,CPULinearSparse,104,0.172,1.26506e+06,790.475,4, 0.00157728,,0.00146015,0.000929924,0.00157728,
SmoothPoly,CPULinearSparse,108,0.156,1.40015e+06,714.209,4, 0.00189954,,0.00132439,0.000653211,0.00189954,
SmoothPoly,CPULinearSparse,112,0.137,1.55796e+06,641.863,4, 0.00146566,,0.00101371,0.00102266,0.00146566,
SmoothPoly,CPULinearSparse,116,0.133,1.74146e+06,574.232,4, 0.00279346,,0.000600875,0.0013706,0.00279346,
SmoothPoly,CPULinearSparse,120,0.144,1.936e+06,516.53,4, 0.00129583,,0.000123284,0.000944203,0.00129583,
SmoothPoly,CPULinearSparse,124,0.24,2.08255e+06,480.18,4, 0.00155724,,0.000549313,0.000608184,0.00155724,
SmoothPoly,CPULinearSparse,128,0.229,2.3178e+06,431.443,4, 0.00119114,,0.00109246,0.00037977,0.00119114,
SmoothPoly,CPULinearSparse,132,0.22,2.51458e+06,397.681,4, 0.00228796,,0.000824974,0.000188642,0.00228796,
SmoothPoly,CPULinearSparse,136,0.242,2.77257e+06,360.676,4, 0.00108026,,0.00097859,0.000213033,0.00108026,
SmoothPoly,CPULinearSparse,140,0.27,3.01016e+06,332.208,4, 0.00131695,,0.000897951,0.000385201,0.00131695,
SmoothPoly,CPULinearSparse,144,0.247,3.27725e+06,305.134,4, 0.000987606,,0.000698493,0.000515897,0.000987606,
SmoothPoly,CPULinearSparse,148,0.262,3.55258e+06,281.485,4, 0.00190155,,0.000413857,0.000604138,0.00190155,
SmoothPoly,CPULinearSparse,152,0.291,3.85758e+06,259.23,4, 0.000940401,,9.0663e-05,0.000658264,0.000940401,
SmoothPoly,CPULinearSparse,156,0.293,4.14277e+06,241.384,4, 0.00115238,,0.000404099,0.000668571,0.00115238,
SmoothPoly,CPULinearSparse,160,0.323,4.45973e+06,224.229,4, 0.000835263,,0.000795213,0.00063976,0.000835263,
SmoothPoly,CPULinearSparse,164,0.377,9.85488e+06,101.473,4, 0.00161422,,0.000604779,0.000559968,0.00161422,
SmoothPoly,CPULinearSparse,168,0.386,5.22318e+06,191.454,4, 0.000807444,,0.000713623,0.00041824,0.000807444,
SmoothPoly,CPULinearSparse,172,0.393,5.60019e+06,178.565,4, 0.00100896,,0.000664602,0.000333256,0.00100896,
SmoothPoly,CPULinearSparse,176,0.446,6.0002e+06,166.661,4, 0.000737968,,0.000518585,0.000543245,0.000737968,
SmoothPoly,CPULinearSparse,180,0.457,6.3742e+06,156.883,4, 0.00140859,,0.000312226,0.000730642,0.00140859,
SmoothPoly,CPULinearSparse,184,0.452,6.79718e+06,147.12,4, 0.000723136,,9.32934e-05,0.000519514,0.000723136,
SmoothPoly,CPULinearSparse,188,0.561,7.22604e+06,138.388,4, 0.000887639,,0.000315807,0.000327282,0.000887639,
SmoothPoly,CPULinearSparse,192,0.47,7.68501e+06,130.123,4, 0.000642232,,0.000614764,0.000210613,0.000642232,
SmoothPoly,CPULinearSparse,196,0.56,8.22299e+06,121.61,4, 0.00122478,,0.000464968,0.000111248,0.00122478,
SmoothPoly,CPULinearSparse,200,0.555,8.749e+06,114.299,4, 0.000628857,,0.000552836,0.000117577,0.000628857,
SmoothPoly,CPULinearSparse,204,0.584,9.26725e+06,107.907,4, 0.000797137,,0.000516721,0.000207181,0.000797137,
SmoothPoly,CPULinearSparse,208,0.659,9.91562e+06,100.851,4, 0.000565299,,0.000407735,0.000282003,0.000565299,
SmoothPoly,CPULinearSparse,212,0.69,1.04006e+07,96.1479,4, 0.00109349,,0.000245617,0.000341624,0.00109349,
SmoothPoly,CPULinearSparse,216,0.722,1.10441e+07,90.5461,4, 0.000577986,,0.00010514,0.000377973,0.000577986,
SmoothPoly,CPULinearSparse,220,0.739,1.1607e+07,86.1548,4, 0.000723594,,0.000257177,0.000388737,0.000723594,
SmoothPoly,CPULinearSparse,224,0.791,1.22613e+07,81.5576,4, 0.000516658,,0.000492683,0.000377972,0.000516658,
SmoothPoly,CPULinearSparse,228,0.831,1.29597e+07,77.1625,4, 0.000988652,,0.000374752,0.000335406,0.000988652,
SmoothPoly,CPULinearSparse,232,0.885,1.36936e+07,73.0269,4, 0.000548238,,0.000448722,0.000251905,0.000548238,
SmoothPoly,CPULinearSparse,236,0.897,1.47698e+07,67.7059,4, 0.000662262,,0.000418808,0.000209149,0.000662262,
SmoothPoly,CPULinearSparse,240,0.947,1.51476e+07,66.0172,4, 0.000473154,,0.000331351,0.00035049,0.000473154,
SmoothPoly,CPULinearSparse,244,0.963,1.58421e+07,63.1229,4, 0.000892829,,0.000210346,0.000473485,0.000892829,
SmoothPoly,CPULinearSparse,248,1.044,2.30136e+07,43.4527,4, 0.000483712,,0.000115192,0.000341695,0.000483712,
SmoothPoly,CPULinearSparse,252,1.075,1.73745e+07,57.5557,4, 0.000612074,,0.000216083,0.000222604,0.000612074,
SmoothPoly,CPULinearSparse,256,1.087,1.81501e+07,55.096,4, 0.000432752,,0.000409871,0.000143633,0.000432752,
SmoothPoly,CPULinearSparse,260,1.247,1.91751e+07,52.1509,4, 0.000830142,,0.000311453,7.8999e-05,0.000830142,
