functionName, calculator,N,initTime, calcTime, calcHz, bytes, maxError, blankColumn, err1, err2, err3, Blank
NonsmoothRungeAbs,CPULinearQuad,8,0,1.40448e+08,7.12009,4, 0.318407,,0.318407,0.145011,0.261669,
NonsmoothRungeAbs,CPULinearQuad,12,0,3.42261e+08,2.92174,4, 0.268269,,0.268269,0.121193,0.141003,
NonsmoothRungeAbs,CPULinearQuad,16,0,7.30011e+08,1.36984,4, 0.190483,,0.190483,0.0787759,0.0878498,
NonsmoothRungeAbs,CPULinearQuad,20,0,1.30026e+09,0.769077,4, 0.108484,,0.108484,0.0546757,0.0731621,
NonsmoothRungeAbs,CPULinearQuad,24,0,1.96925e+09,0.507808,4, 0.0661561,,0.0661561,0.052475,0.0507704,
NonsmoothRungeAbs,CPULinearQuad,28,0,2.85918e+09,0.349751,4, 0.0456848,,0.0293404,0.0456848,0.0406936,
NonsmoothRungeAbs,CPULinearQuad,32,0,3.78369e+09,0.264293,4, 0.0411056,,0.0156181,0.0411056,0.0275556,
NonsmoothRungeAbs,CPULinearQuad,36,0,5.07695e+09,0.196969,4, 0.047668,,0.047668,0.0333874,0.0283079,
NonsmoothRungeAbs,CPULinearQuad,40,0,6.58118e+09,0.151949,4, 0.0498658,,0.0498658,0.0235707,0.0199393,
NonsmoothRungeAbs,CPULinearQuad,44,0,8.4295e+09,0.118631,4, 0.0444482,,0.0444482,0.0127475,0.0190123,
NonsmoothRungeAbs,CPULinearQuad,48,0,9.76137e+09,0.102445,4, 0.0331015,,0.0331015,0.0135701,0.0142194,
NonsmoothRungeAbs,CPULinearQuad,52,0,1.23978e+10,0.0806593,4, 0.0225416,,0.0212558,0.0225416,0.0167238,
NonsmoothRungeAbs,CPULinearQuad,56,0,1.50263e+10,0.0665501,4, 0.0163611,,0.0134316,0.0163611,0.0140989,
NonsmoothRungeAbs,CPULinearQuad,60,0,1.717e+10,0.0582412,4, 0.0127861,,0.00956711,0.010735,0.0127861,
NonsmoothRungeAbs,CPULinearQuad,64,0,1.99997e+10,0.0500007,4, 0.0110143,,0.00930278,0.00817833,0.0110143,
NonsmoothRungeAbs,CPULinearQuad,68,0,2.42627e+10,0.0412156,4, 0.0147578,,0.0147578,0.0074729,0.0126052,
NonsmoothRungeAbs,CPULinearQuad,72,0,2.65733e+10,0.0376318,4, 0.0188945,,0.0188945,0.00720032,0.00941366,
NonsmoothRungeAbs,CPULinearQuad,76,0,3.07006e+10,0.0325727,4, 0.0168753,,0.0168753,0.00676755,0.0095702,
NonsmoothRungeAbs,CPULinearQuad,80,0,3.52952e+10,0.0283325,4, 0.0130474,,0.0130474,0.00755399,0.010711,
NonsmoothRungeAbs,CPULinearQuad,84,0,3.99633e+10,0.0250229,4, 0.0107777,,0.0107777,0.00849967,0.0104134,
NonsmoothRungeAbs,CPULinearQuad,88,0,4.39218e+10,0.0227678,4, 0.00917208,,0.00917208,0.00894538,0.00887358,
NonsmoothRungeAbs,CPULinearQuad,92,0,4.8437e+10,0.0206454,4, 0.008447,,0.00699041,0.008447,0.00776888,
NonsmoothRungeAbs,CPULinearQuad,96,0,5.49951e+10,0.0181834,4, 0.00880724,,0.0056729,0.00774416,0.00880724,
NonsmoothRungeAbs,CPULinearQuad,100,0,6.0264e+10,0.0165937,4, 0.0110372,,0.00703836,0.0067838,0.0110372,
NonsmoothRungeAbs,CPULinearQuad,104,0,6.83196e+10,0.0146371,4, 0.00959504,,0.00959504,0.00508748,0.00788873,
NonsmoothRungeAbs,CPULinearQuad,108,0,7.15153e+10,0.013983,4, 0.00951541,,0.00907285,0.00322731,0.00951541,
NonsmoothRungeAbs,CPULinearQuad,112,0,8.02529e+10,0.0124606,4, 0.00907659,,0.00871271,0.00392481,0.00907659,
NonsmoothRungeAbs,CPULinearQuad,116,0,8.65549e+10,0.0115534,4, 0.00897566,,0.00833666,0.00739475,0.00897566,
NonsmoothRungeAbs,CPULinearQuad,120,0,9.46212e+10,0.0105685,4, 0.00832129,,0.00701493,0.00538217,0.00832129,
