function_name, calculator,N,init-time, calc-time, calc-hz, bytes, max-error, blank-column, err1, err2, err3, Blank
Nonsmooth_sqrt,CPU-cheb-dense,8,0.008,58882,16983.1,8, 0.802438,,0.802438,0.421655,0.253212,
Nonsmooth_sqrt,CPU-cheb-dense,12,0.101,179181,5580.95,8, 0.708211,,0.708211,0.364541,0.250572,
Nonsmooth_sqrt,CPU-cheb-dense,16,0.138,746413,1339.74,8, 0.618522,,0.618522,0.305792,0.238482,
Nonsmooth_sqrt,CPU-cheb-dense,20,0.164,1.29792e+06,770.462,8, 0.524674,,0.524674,0.266328,0.197287,
Nonsmooth_sqrt,CPU-cheb-dense,24,0.306,3.78206e+06,264.406,8, 0.429276,,0.429276,0.236978,0.123683,
Nonsmooth_sqrt,CPU-cheb-dense,28,0.381,8.13686e+06,122.897,8, 0.337245,,0.337245,0.211175,0.148988,
Nonsmooth_sqrt,CPU-cheb-dense,32,1.049,1.61571e+07,61.8921,8, 0.253524,,0.253524,0.186653,0.159829,
Nonsmooth_sqrt,CPU-cheb-dense,36,0.177,1.98381e+07,50.408,8, 0.296967,,0.296967,0.162256,0.143482,
Nonsmooth_sqrt,CPU-cheb-dense,40,2.203,4.15006e+07,24.096,8, 0.387586,,0.387586,0.135772,0.0924428,
Nonsmooth_sqrt,CPU-cheb-dense,44,1.672,5.50137e+07,18.1773,8, 0.420338,,0.420338,0.108467,0.115545,
Nonsmooth_sqrt,CPU-cheb-dense,48,0.423,9.1068e+07,10.9808,8, 0.408414,,0.408414,0.112348,0.128041,
Nonsmooth_sqrt,CPU-cheb-dense,52,2.226,9.29048e+07,10.7637,8, 0.363638,,0.363638,0.113532,0.118181,
Nonsmooth_sqrt,CPU-cheb-dense,56,3.044,1.7546e+08,5.69931,8, 0.309227,,0.309227,0.116949,0.0763914,
Nonsmooth_sqrt,CPU-cheb-dense,60,3.524,1.49323e+08,6.69688,8, 0.250293,,0.250293,0.120059,0.0976655,
Nonsmooth_sqrt,CPU-cheb-dense,64,4.981,2.99717e+08,3.33648,8, 0.19164,,0.19164,0.122493,0.109829,
Nonsmooth_sqrt,CPU-cheb-dense,68,6.96,2.71135e+08,3.6882,8, 0.221734,,0.221734,0.124163,0.102716,
Nonsmooth_sqrt,CPU-cheb-dense,72,7.542,5.40385e+08,1.85053,8, 0.284364,,0.284364,0.125028,0.0667405,
Nonsmooth_sqrt,CPU-cheb-dense,76,10.843,4.19966e+08,2.38115,8, 0.312621,,0.312621,0.124842,0.086088,
Nonsmooth_sqrt,CPU-cheb-dense,80,10.751,7.69111e+08,1.3002,8, 0.316747,,0.316747,0.123512,0.0976581,
Nonsmooth_sqrt,CPU-cheb-dense,84,14.622,7.41683e+08,1.34829,8, 0.3039,,0.3039,0.120964,0.092098,
Nonsmooth_sqrt,CPU-cheb-dense,88,20.11,1.88638e+09,0.530116,8, 0.279112,,0.279112,0.116987,0.060014,
Nonsmooth_sqrt,CPU-cheb-dense,92,23.798,9.58566e+08,1.04322,8, 0.244992,,0.244992,0.111432,0.0778698,
Nonsmooth_sqrt,CPU-cheb-dense,96,25.744,1.63361e+09,0.612142,8, 0.195764,,0.195764,0.104107,0.0888019,
Nonsmooth_sqrt,CPU-cheb-dense,100,29.237,1.61378e+09,0.619664,8, 0.179418,,0.179418,0.0946003,0.0842058,
Nonsmooth_sqrt,CPU-cheb-dense,104,33.836,2.25414e+09,0.443627,8, 0.233956,,0.233956,0.0822485,0.0549297,
Nonsmooth_sqrt,CPU-cheb-dense,108,46.065,2.06389e+09,0.484522,8, 0.258337,,0.258337,0.0662645,0.0716062,
Nonsmooth_sqrt,CPU-cheb-dense,112,55.587,4.14986e+09,0.240972,8, 0.263141,,0.263141,0.0706573,0.0819925,
Nonsmooth_sqrt,CPU-cheb-dense,116,70.969,2.37457e+09,0.421129,8, 0.254072,,0.254072,0.0742373,0.0780506,
Nonsmooth_sqrt,CPU-cheb-dense,120,64.789,4.89304e+09,0.204372,8, 0.235102,,0.235102,0.0782844,0.0509692,
Nonsmooth_sqrt,CPU-cheb-dense,124,100.221,4.90387e+09,0.203921,8, 0.209624,,0.209624,0.0819675,0.0666402,
Nonsmooth_sqrt,CPU-cheb-dense,128,82.538,7.3686e+09,0.135711,8, 0.180731,,0.180731,0.0851847,0.0765258,
Nonsmooth_sqrt,CPU-cheb-dense,132,99.076,4.37291e+09,0.22868,8, 0.154061,,0.154061,0.087831,0.0730711,
Nonsmooth_sqrt,CPU-cheb-dense,136,131.74,6.9023e+09,0.144879,8, 0.203803,,0.203803,0.0897671,0.047753,
Nonsmooth_sqrt,CPU-cheb-dense,140,131.538,5.0955e+09,0.196252,8, 0.225137,,0.225137,0.0908929,0.062587,
Nonsmooth_sqrt,CPU-cheb-dense,144,144.598,1.44461e+10,0.0692229,8, 0.229458,,0.229458,0.0911025,0.0720311,
Nonsmooth_sqrt,CPU-cheb-dense,148,228.066,9.4483e+09,0.105839,8, 0.22174,,0.22174,0.0902613,0.0689297,
Finished a list. std::bad_alloc
