function_name, calculator,N,init-time, calc-time, calc-hz, bytes, max-error, blank-column, err1, err2, err3, Blank
Nonsmooth_sqrt,CPU-linear-sparse,8,0.029,3.4008e+06,294.048,8, 0.140203,,0.140203,0.0280518,0.018559,
Nonsmooth_sqrt,CPU-linear-sparse,12,0.023,6.36546e+06,157.098,8, 0.0870173,,0.0870173,0.018028,0.0128247,
Nonsmooth_sqrt,CPU-linear-sparse,16,0.022,1.37831e+07,72.5525,8, 0.0611646,,0.0611646,0.0114984,0.00630446,
Nonsmooth_sqrt,CPU-linear-sparse,20,0.027,1.40394e+07,71.2281,8, 0.0424922,,0.0424922,0.0105588,0.00649969,
Nonsmooth_sqrt,CPU-linear-sparse,24,0.047,1.42505e+07,70.1731,8, 0.022176,,0.022176,0.00827356,0.00408335,
Nonsmooth_sqrt,CPU-linear-sparse,28,0.115,1.42226e+07,70.3106,8, 0.0126838,,0.0126838,0.00729018,0.00359502,
Nonsmooth_sqrt,CPU-linear-sparse,32,0.052,8.06277e+06,124.027,8, 0.00665559,,0.00665559,0.00590009,0.0023535,
Nonsmooth_sqrt,CPU-linear-sparse,36,0.055,1.31123e+07,76.264,8, 0.0178522,,0.0178522,0.00513366,0.00341666,
Nonsmooth_sqrt,CPU-linear-sparse,40,0.057,6.88264e+06,145.293,8, 0.0194846,,0.0194846,0.00365435,0.00195375,
Nonsmooth_sqrt,CPU-linear-sparse,44,0.049,6.92249e+06,144.457,8, 0.0194069,,0.0194069,0.00289129,0.0015934,
Nonsmooth_sqrt,CPU-linear-sparse,48,0.065,1.08045e+07,92.554,8, 0.0156433,,0.0156433,0.00271663,0.00136321,
Nonsmooth_sqrt,CPU-linear-sparse,52,0.099,1.24356e+07,80.4144,8, 0.0100522,,0.0100522,0.00280003,0.00176529,
Nonsmooth_sqrt,CPU-linear-sparse,56,0.055,7.09908e+06,140.863,8, 0.00742297,,0.00742297,0.00190847,0.00152239,
Nonsmooth_sqrt,CPU-linear-sparse,60,0.094,1.2292e+07,81.3538,8, 0.00704867,,0.00704867,0.00192366,0.00118842,
Nonsmooth_sqrt,CPU-linear-sparse,64,0.156,565573,1768.12,8, 0.0102224,,0.0102224,0.00143473,0.000909849,
Nonsmooth_sqrt,CPU-linear-sparse,68,0.147,728181,1373.28,8, 0.00749387,,0.00749387,0.00121007,0.00131281,
Nonsmooth_sqrt,CPU-linear-sparse,72,0.142,904236,1105.91,8, 0.010161,,0.010161,0.00118584,0.00107553,
Nonsmooth_sqrt,CPU-linear-sparse,76,0.232,1.02981e+06,971.049,8, 0.00835845,,0.00835845,0.00111428,0.000757857,
Nonsmooth_sqrt,CPU-linear-sparse,80,0.176,1.18509e+06,843.82,8, 0.00648636,,0.00648636,0.00122163,0.000733869,
Nonsmooth_sqrt,CPU-linear-sparse,84,0.223,1.36703e+06,731.514,8, 0.00503846,,0.00503846,0.00130311,0.0010143,
Nonsmooth_sqrt,CPU-linear-sparse,88,0.258,7.41817e+06,134.804,8, 0.0041027,,0.0041027,0.00145132,0.000809758,
Nonsmooth_sqrt,CPU-linear-sparse,92,0.276,1.71882e+06,581.795,8, 0.00342104,,0.00342104,0.00131345,0.000634991,
Nonsmooth_sqrt,CPU-linear-sparse,96,0.277,1.95936e+06,510.371,8, 0.00582528,,0.00582528,0.00129733,0.000658113,
Nonsmooth_sqrt,CPU-linear-sparse,100,0.318,2.2183e+06,450.795,8, 0.00452491,,0.00452491,0.00129155,0.000794956,
Nonsmooth_sqrt,CPU-linear-sparse,104,0.347,2.48112e+06,403.043,8, 0.00506637,,0.00506637,0.00110631,0.000635674,
Nonsmooth_sqrt,CPU-linear-sparse,108,0.305,2.79383e+06,357.932,8, 0.00481268,,0.00481268,0.00105436,0.000480896,
Nonsmooth_sqrt,CPU-linear-sparse,112,0.453,3.11551e+06,320.975,8, 0.00436306,,0.00436306,0.000795528,0.000459829,
Nonsmooth_sqrt,CPU-linear-sparse,116,0.483,3.38331e+06,295.568,8, 0.00310935,,0.00310935,0.000942902,0.000682141,
Nonsmooth_sqrt,CPU-linear-sparse,120,0.505,3.79048e+06,263.819,8, 0.00273086,,0.00273086,0.000803138,0.000536713,
Nonsmooth_sqrt,CPU-linear-sparse,124,0.526,4.14789e+06,241.087,8, 0.0024079,,0.0024079,0.000615442,0.000395392,
Nonsmooth_sqrt,CPU-linear-sparse,128,0.544,4.52772e+06,220.862,8, 0.00390945,,0.00390945,0.000541892,0.000435759,
Nonsmooth_sqrt,CPU-linear-sparse,132,0.658,5.05194e+06,197.944,8, 0.00300387,,0.00300387,0.000518417,0.000583589,
Nonsmooth_sqrt,CPU-linear-sparse,136,0.681,5.62794e+06,177.685,8, 0.00361411,,0.00361411,0.000480408,0.000511944,
Nonsmooth_sqrt,CPU-linear-sparse,140,0.665,6.07783e+06,164.532,8, 0.00357681,,0.00357681,0.000535257,0.00034875,
Nonsmooth_sqrt,CPU-linear-sparse,144,0.79,6.69702e+06,149.32,8, 0.00296192,,0.00296192,0.000606638,0.000340884,
Nonsmooth_sqrt,CPU-linear-sparse,148,0.858,7.22949e+06,138.322,8, 0.00256142,,0.00256142,0.000584128,0.000479747,
Nonsmooth_sqrt,CPU-linear-sparse,152,0.83,7.77465e+06,128.623,8, 0.00226116,,0.00226116,0.000642684,0.000416183,
Nonsmooth_sqrt,CPU-linear-sparse,156,0.871,8.25644e+06,121.118,8, 0.0017484,,0.0017484,0.000749885,0.000277507,
Nonsmooth_sqrt,CPU-linear-sparse,160,0.982,8.92257e+06,112.075,8, 0.00274577,,0.00274577,0.000646066,0.000314186,
Nonsmooth_sqrt,CPU-linear-sparse,164,1.127,9.96187e+06,100.383,8, 0.00245765,,0.00245765,0.000713073,0.000438299,
Nonsmooth_sqrt,CPU-linear-sparse,168,0.828,1.06449e+07,93.9421,8, 0.0026067,,0.0026067,0.000613032,0.00039853,
Nonsmooth_sqrt,CPU-linear-sparse,172,1.142,1.13403e+07,88.1812,8, 0.00265657,,0.00265657,0.000525139,0.000272207,
Nonsmooth_sqrt,CPU-linear-sparse,176,1.234,1.20843e+07,82.7517,8, 0.0022403,,0.0022403,0.000385182,0.000293716,
Nonsmooth_sqrt,CPU-linear-sparse,180,1.422,1.26618e+07,78.9779,8, 0.00180217,,0.00180217,0.000532007,0.000399034,
Nonsmooth_sqrt,CPU-linear-sparse,184,1.603,1.38805e+07,72.0435,8, 0.00146402,,0.00146402,0.00041068,0.000342396,
Nonsmooth_sqrt,CPU-linear-sparse,188,1.555,1.45044e+07,68.9444,8, 0.00124141,,0.00124141,0.000366596,0.00023202,
Nonsmooth_sqrt,CPU-linear-sparse,192,1.618,1.53039e+07,65.3428,8, 0.00218698,,0.00218698,0.000340109,0.000240408,
Nonsmooth_sqrt,CPU-linear-sparse,196,1.905,1.64856e+07,60.6588,8, 0.00209548,,0.00209548,0.000292295,0.000361245,
Nonsmooth_sqrt,CPU-linear-sparse,200,1.735,1.73219e+07,57.7306,8, 0.00210654,,0.00210654,0.000285757,0.000290275,
Nonsmooth_sqrt,CPU-linear-sparse,204,1.698,1.82973e+07,54.6528,8, 0.00212074,,0.00212074,0.000304294,0.000200357,
Nonsmooth_sqrt,CPU-linear-sparse,208,1.849,2.28508e+07,43.7622,8, 0.00166129,,0.00166129,0.000392518,0.000244472,
Nonsmooth_sqrt,CPU-linear-sparse,212,2.228,2.51247e+07,39.8014,8, 0.0014155,,0.0014155,0.000383963,0.000303938,
Nonsmooth_sqrt,CPU-linear-sparse,216,2.081,2.2087e+07,45.2755,8, 0.0011857,,0.0011857,0.000440155,0.000273982,
Nonsmooth_sqrt,CPU-linear-sparse,220,2.246,2.33589e+07,42.8102,8, 0.00131854,,0.00131854,0.000437425,0.000193452,
Nonsmooth_sqrt,CPU-linear-sparse,224,2.418,2.42496e+07,41.2377,8, 0.00180689,,0.00180689,0.00044658,0.000197957,
Nonsmooth_sqrt,CPU-linear-sparse,228,2.375,2.61085e+07,38.3017,8, 0.00153223,,0.00153223,0.000424619,0.000296732,
