function_name, calculator,N,init-time, calc-time, calc-hz, bytes, max-error, blank-column, err1, err2, err3, Blank
Nonsmooth_sqrt,CPU-DCT-nopad,8,0.009,7968,125502,8, 1.07172,,0.845609,0.926044,1.07172,
Nonsmooth_sqrt,CPU-DCT-nopad,12,0.011,19607,51002.2,8, 0.896494,,0.806965,0.891415,0.896494,
Nonsmooth_sqrt,CPU-DCT-nopad,16,0.005,35803,27930.6,8, 0.886308,,0.790168,0.874979,0.886308,
Nonsmooth_sqrt,CPU-DCT-nopad,20,0.028,47027,21264.4,8, 0.88002,,0.780565,0.865228,0.88002,
Nonsmooth_sqrt,CPU-DCT-nopad,24,0.032,92911,10763,8, 0.875767,,0.77423,0.858817,0.875767,
Nonsmooth_sqrt,CPU-DCT-nopad,28,0.021,169578,5896.99,8, 0.862281,,0.769667,0.854267,0.862281,
Nonsmooth_sqrt,CPU-DCT-nopad,32,0.019,129149,7742.99,8, 0.861614,,0.766182,0.850875,0.861614,
Nonsmooth_sqrt,CPU-DCT-nopad,36,0.047,172575,5794.58,8, 0.861011,,0.780611,0.848248,0.861011,
Nonsmooth_sqrt,CPU-DCT-nopad,40,0.057,189932,5265.04,8, 0.860479,,0.776407,0.846153,0.860479,
Nonsmooth_sqrt,CPU-DCT-nopad,44,0.016,238769,4188.15,8, 0.853146,,0.772964,0.844443,0.853146,
Nonsmooth_sqrt,CPU-DCT-nopad,48,0.052,379235,2636.89,8, 0.853481,,0.770087,0.843022,0.853481,
Nonsmooth_sqrt,CPU-DCT-nopad,52,0.014,377908,2646.15,8, 0.853722,,0.767648,0.824073,0.853722,
Nonsmooth_sqrt,CPU-DCT-nopad,56,0.027,406987,2457.08,8, 0.853898,,0.765555,0.824333,0.853898,
Nonsmooth_sqrt,CPU-DCT-nopad,60,0.084,564612,1771.13,8, 0.848913,,0.76374,0.824556,0.848913,
Nonsmooth_sqrt,CPU-DCT-nopad,64,0.035,687253,1455.07,8, 0.849434,,0.762153,0.824751,0.849434,
Nonsmooth_sqrt,CPU-DCT-nopad,68,0.04,1.3394e+06,746.604,8, 0.849869,,0.769586,0.824922,0.849869,
Nonsmooth_sqrt,CPU-DCT-nopad,72,0.083,901957,1108.7,8, 0.850234,,0.767807,0.825074,0.850234,
Nonsmooth_sqrt,CPU-DCT-nopad,76,0.042,1.61929e+06,617.553,8, 0.846471,,0.766224,0.825209,0.846471,
Nonsmooth_sqrt,CPU-DCT-nopad,80,0.09,976692,1023.86,8, 0.847013,,0.764807,0.82533,0.847013,
Nonsmooth_sqrt,CPU-DCT-nopad,84,0.053,1.00371e+06,996.304,8, 0.847485,,0.763532,0.82544,0.847485,
Nonsmooth_sqrt,CPU-DCT-nopad,88,0.025,1.05818e+06,945.018,8, 0.847901,,0.762379,0.825539,0.847901,
Nonsmooth_sqrt,CPU-DCT-nopad,92,0.035,1.59871e+06,625.503,8, 0.844882,,0.76133,0.82563,0.844882,
Nonsmooth_sqrt,CPU-DCT-nopad,96,0.097,1.4676e+06,681.383,8, 0.845401,,0.760372,0.825712,0.845401,
Nonsmooth_sqrt,CPU-DCT-nopad,100,0.076,1.37964e+06,724.825,8, 0.845865,,0.76543,0.825788,0.845865,
Nonsmooth_sqrt,CPU-DCT-nopad,104,0.029,2.07773e+06,481.294,8, 0.846284,,0.764371,0.825858,0.846284,
Nonsmooth_sqrt,CPU-DCT-nopad,108,0.078,1.58562e+06,630.666,8, 0.843766,,0.763394,0.825923,0.843766,
Nonsmooth_sqrt,CPU-DCT-nopad,112,0.048,1.56949e+06,637.148,8, 0.844251,,0.762489,0.825983,0.844251,
Nonsmooth_sqrt,CPU-DCT-nopad,116,0.043,2.67318e+06,374.086,8, 0.844693,,0.761649,0.818362,0.844693,
Nonsmooth_sqrt,CPU-DCT-nopad,120,0.166,1.87318e+06,533.853,8, 0.845097,,0.760866,0.818665,0.845097,
Nonsmooth_sqrt,CPU-DCT-nopad,124,0.046,3.24742e+06,307.937,8, 0.842938,,0.760135,0.818949,0.842938,
Nonsmooth_sqrt,CPU-DCT-nopad,128,0.036,1.91463e+06,522.294,8, 0.843389,,0.759451,0.819215,0.843389,
Nonsmooth_sqrt,CPU-DCT-nopad,132,0.06,2.81553e+06,355.173,8, 0.843805,,0.763282,0.819466,0.843805,
Nonsmooth_sqrt,CPU-DCT-nopad,136,0.084,3.2959e+06,303.407,8, 0.84419,,0.762537,0.819701,0.84419,
Nonsmooth_sqrt,CPU-DCT-nopad,140,0.081,2.49652e+06,400.558,8, 0.842301,,0.761836,0.819924,0.842301,
Nonsmooth_sqrt,CPU-DCT-nopad,144,0.131,2.71086e+06,368.886,8, 0.842719,,0.761176,0.820134,0.842719,
Nonsmooth_sqrt,CPU-DCT-nopad,148,0.058,4.72165e+06,211.79,8, 0.843109,,0.760553,0.820333,0.843109,
Nonsmooth_sqrt,CPU-DCT-nopad,152,0.105,4.66119e+06,214.537,8, 0.843473,,0.759964,0.820522,0.843473,
Nonsmooth_sqrt,CPU-DCT-nopad,156,0.059,3.13104e+06,319.382,8, 0.841794,,0.759407,0.820701,0.841794,
Nonsmooth_sqrt,CPU-DCT-nopad,160,0.096,3.55728e+06,281.114,8, 0.842183,,0.758879,0.820871,0.842183,
Nonsmooth_sqrt,CPU-DCT-nopad,164,0.07,6.19709e+06,161.366,8, 0.842549,,0.761963,0.821033,0.842549,
Nonsmooth_sqrt,CPU-DCT-nopad,168,0.114,3.71461e+06,269.207,8, 0.842893,,0.761393,0.821187,0.842893,
Nonsmooth_sqrt,CPU-DCT-nopad,172,0.102,7.90951e+06,126.43,8, 0.841382,,0.760852,0.821334,0.841382,
Nonsmooth_sqrt,CPU-DCT-nopad,176,0.086,4.17776e+06,239.362,8, 0.841745,,0.760335,0.821475,0.841745,
Nonsmooth_sqrt,CPU-DCT-nopad,180,0.195,4.19208e+06,238.545,8, 0.842088,,0.759842,0.816712,0.842088,
Nonsmooth_sqrt,CPU-DCT-nopad,184,0.092,6.35107e+06,157.454,8, 0.842413,,0.759372,0.816944,0.842413,
Nonsmooth_sqrt,CPU-DCT-nopad,188,0.097,1.00756e+07,99.2499,8, 0.84104,,0.758922,0.817166,0.84104,
Nonsmooth_sqrt,CPU-DCT-nopad,192,0.103,5.0591e+06,197.663,8, 0.84138,,0.758492,0.817379,0.84138,
Nonsmooth_sqrt,CPU-DCT-nopad,196,0.062,5.43146e+06,184.113,8, 0.841703,,0.761073,0.817584,0.841703,
Nonsmooth_sqrt,CPU-DCT-nopad,200,0.148,5.36426e+06,186.419,8, 0.84201,,0.760614,0.81778,0.84201,
Nonsmooth_sqrt,CPU-DCT-nopad,204,0.162,7.36401e+06,135.796,8, 0.840752,,0.760172,0.817969,0.840752,
Nonsmooth_sqrt,CPU-DCT-nopad,208,0.073,8.1293e+06,123.012,8, 0.841071,,0.759749,0.818151,0.841071,
Nonsmooth_sqrt,CPU-DCT-nopad,212,0.098,1.26045e+07,79.3368,8, 0.841376,,0.759342,0.818326,0.841376,
Nonsmooth_sqrt,CPU-DCT-nopad,216,0.161,6.59088e+06,151.725,8, 0.841667,,0.758951,0.818495,0.841667,
Nonsmooth_sqrt,CPU-DCT-nopad,220,0.113,6.68257e+06,149.643,8, 0.840506,,0.758575,0.818657,0.840506,
Nonsmooth_sqrt,CPU-DCT-nopad,224,0.08,7.36618e+06,135.756,8, 0.840807,,0.758212,0.818814,0.840807,
Nonsmooth_sqrt,CPU-DCT-nopad,228,0.176,1.01748e+07,98.2816,8, 0.841095,,0.760432,0.818966,0.841095,
Nonsmooth_sqrt,CPU-DCT-nopad,232,0.14,1.14353e+07,87.4481,8, 0.841371,,0.760047,0.819112,0.841371,
Nonsmooth_sqrt,CPU-DCT-nopad,236,0.151,1.76193e+07,56.756,8, 0.840293,,0.759676,0.819254,0.840293,
Nonsmooth_sqrt,CPU-DCT-nopad,240,0.279,8.45766e+06,118.236,8, 0.840578,,0.759318,0.81939,0.840578,
